TIME,P,TAVG,THA,THB,TCA,TCB,WRCA,WRCB,PSGA,PSGB,WFWA,WFWB,WSTA,WSTB,VOL,LVPZ,VOID,WLR,WUP,HUP,HLW,WHPI,WECS,QMWT,LSGA,LSGB,QMGA,QMGB,NSGA,NSGB,TBLD,WTRA,WTRB,TSAT,QRHR,LVCR,SCMA,SCMB,FRCL,PRB,PRBA,TRB,LWRB,DNBR,QFCL,WBK,WSPY,WCSP,HTR,MH2,CNH2,RHBR,RHMT,RHFL,RHRD,RH,PWNT,PWR,TFSB,TFPK,TF,TPCT,WCFT,WLPI,WCHG,RM1,RM2,RM3,RM4,RC87,RC131,STRB,STSG,STTB,RBLK,SGLK,DTHY,DWB,WRLA,WRLB,WLD,MBK,EBK,TKLV,FRZR,TDBR,MDBR,MCRT,MGAS,TCRT,TSLP,PPM,RRCA,RRCB,RRCO,WFLB
0,155.5000153,310,327.8239746,327.8232117,292.1760559,292.1767883,16515.81836,33031.63672,67.00003052,67.00004578,1915.810303,3831.620605,1915.864746,3831.565918,289.644989,62,2.97E-06,0,0,2582.676025,1290.273438,0,23.70000076,2895,11.83000088,11.83000088,971.0827026,1942.082642,50,50,100,0,0,344.9923096,0,7.92489624,17.16834259,17.16908836,0,1.034000039,0.906761765,50,0.099999994,2.300000191,0,0,0,0,0,0,0,0,0,0,0,0,100,100,788.9000244,788.9000244,788.9000244,549.4500122,0,0,23.70000076,0.0011,0.022000002,0.032999996,0.044,5655.817383,114276.5313,0.021269055,0,3.14E-05,0.666807115,0,0.000168947,1.69E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,1,1,1.000000119,0
10,155.4682007,309.9801025,327.805481,327.8046875,292.1563721,292.1572266,16515.81836,33031.63672,66.98560333,66.98564148,1917.561401,3835.10083,1915.845337,3831.585449,289.6227722,61.94411087,-1.04E-06,0,0,2582.773926,1501.299438,0,23.3657093,2906.427979,11.83006477,11.83007908,970.9082642,1941.72522,49.92216492,49.92179489,100,0,0,344.9752197,0,7.92489624,17.16973305,17.17054558,0,1.034000039,0.906761765,50,0.099999994,2.290956497,0,0,0,0,9.548927531,0,0,0,0.002313371,-0.00294426,0,-0.000630889,100.3528442,100.3947525,790.7384033,790.7694092,790.7694092,550.3741455,0,0,23.3657093,0.0011,0.022000002,0.032999996,0.044,5655.817383,114276.5313,0.021269055,0,3.14E-05,14.00294971,0,0.000168947,1.69E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,1,1,1.000000119,0
20,155.4674225,309.9776611,327.8104858,327.8096313,292.1513977,292.1522522,16515.81836,33031.63672,66.98273468,66.98277283,1917.152344,3834.274902,1915.845581,3831.585205,289.6235962,61.94610596,-4.40E-06,0,0,2582.77002,1501.291016,0,24.24028587,2903.262695,11.83042526,11.83045197,970.960144,1941.828491,49.94826889,49.94802856,100,0,0,344.9759827,0,7.92489624,17.16549301,17.16634178,0,1.034000039,0.906761765,50,0.099999994,2.29345417,0,0,0,0,9.144025968,0,0,0,0.002597055,-0.002118286,0,0.000478769,100.3360977,100.2854156,790.2824097,790.2449951,790.2449951,550.1115112,0,0,24.24028587,0.0011,0.022000002,0.032999996,0.044,5655.817383,114276.5313,0.021269055,0,3.14E-05,27.33909225,0,0.000168947,1.69E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,1,1,1.000000119,0
30,155.4718628,309.9802246,327.8111572,327.8103027,292.1473694,292.1481934,16515.81836,33031.63672,66.97952271,66.97956085,1917.370605,3834.702637,1915.845947,3831.585205,289.6253357,61.95050049,-2.62E-06,0,0,2582.759521,1501.328369,0,23.76137733,2904.704834,11.83082294,11.83086014,971.1690674,1942.245728,49.94297409,49.94285583,100,0,0,344.9777527,0,7.92489624,17.16661263,17.1674614,0,1.034000039,0.906761765,50,0.099999994,2.292315722,0,0,0,0,8.136591956,0,0,0,0.00229761,-0.002497253,0,-0.000199643,100.3120117,100.335228,790.4684448,790.4855957,790.4855957,550.2329102,0,0,23.76137733,0.0011,0.022000002,0.032999996,0.044,5655.817383,114276.5313,0.021269055,0,3.14E-05,40.67520905,0,0.000168947,1.69E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,1,1,1.000000119,0
40,155.4710693,309.9779358,327.8114319,327.8105774,292.145813,292.146637,16515.81836,33031.63672,66.97861481,66.97865295,1917.365479,3834.686523,1915.845947,3831.585205,289.6240845,61.9473877,3.39E-08,0,0,2582.761475,1501.309326,0,23.90941429,2904.648438,11.83124352,11.83129025,971.1166992,1942.140991,49.94827271,49.94830704,100,0,0,344.977417,0,7.92489624,17.16600227,17.16685104,0,1.034000039,0.906761765,50,0.099999994,2.292360067,0,0,0,0,8.314941742,0,0,0,0.002565535,-0.002479095,0,8.64E-05,100.3468475,100.3332825,790.4840698,790.4740601,790.4740601,550.2259521,0,0,23.90941429,0.0011,0.022000002,0.032999996,0.044,5655.817383,114276.5313,0.021269055,0,3.14E-05,54.01131439,0,0.000168947,1.69E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,1,1,1.000000119,0
50,155.4747314,309.9790039,327.8121643,327.8113098,292.1455078,292.1463623,16515.81836,33031.63672,66.97826385,66.978302,1917.328369,3834.602051,1915.846558,3831.584229,289.6259155,61.95199585,2.54E-06,0,0,2582.750488,1501.321289,0,23.86006165,2904.553711,11.83168507,11.83174133,971.1713257,1942.249268,49.95415497,49.95424271,100,0,0,344.9793396,0,7.92489624,17.16715622,17.16800308,0,1.034000039,0.906761765,50,0.099999994,2.292434931,0,0,0,0,7.259305739,0,0,0,0.002439454,-0.002456131,0,-1.67E-05,100.3251724,100.3300095,790.4558716,790.4594727,790.4594727,550.2192383,0,0,23.86006165,0.0011,0.022000002,0.032999996,0.044,5655.817383,114276.5313,0.021269055,0,3.14E-05,67.34744263,0,0.000168947,1.69E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,1,1,1.000000119,0
60,155.4760895,309.9785156,327.8119202,327.8110657,292.1450806,292.1459656,16515.81836,33031.63672,66.97794342,66.97798157,1917.324341,3834.588135,1915.846558,3831.584229,289.6260376,61.95233917,1.87E-06,0,0,2582.746826,1501.317017,0,23.84714127,2904.76001,11.83211517,11.83217716,971.1599731,1942.226563,49.95777893,49.95793152,100,0,0,344.9799805,0,7.92489624,17.16803741,17.16891861,0,1.034000039,0.906761765,50,0.099999994,2.292272091,0,0,0,0,6.892966373,0,0,0,0.002498555,-0.002509003,0,-1.04E-05,100.3380661,100.3371353,790.4937134,790.493042,790.493042,550.2357178,0,0,23.84714127,0.0011,0.022000002,0.032999996,0.044,5655.817383,114276.5313,0.021269055,0,3.14E-05,80.68362427,0,0.000168947,1.69E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,1,1,1.000000119,0
70,155.4783173,309.9786072,327.8123169,327.8114319,292.1450806,292.1459656,16515.81836,33031.63672,66.97799683,66.97803497,1917.253784,3834.440674,1915.847168,3831.583984,289.6270142,61.9547348,-4.02E-06,0,0,2582.73999,1501.317749,0,23.86316872,2904.611816,11.83253956,11.83260822,971.161438,1942.22876,49.96378708,49.96401978,100,0,0,344.9811707,0,7.92489624,17.16884995,17.16973305,0,1.034000039,0.906761765,50,0.099999994,2.292389154,0,0,0,0,6.232591132,0,0,0,0.002486735,-0.002470657,0,1.61E-05,100.3325272,100.332016,790.4691162,790.468689,790.468689,550.2236938,0,0,23.86316872,0.0011,0.022000002,0.032999996,0.044,5655.817383,114276.5313,0.021269055,0,3.14E-05,94.01980591,0,0.000168947,1.69E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,1,1,1.000000119,0
80,155.4802094,309.9786987,327.8122253,327.8113708,292.1450806,292.1459656,16515.81836,33031.63672,66.97795868,66.97799683,1917.203979,3834.338135,1915.84375,3831.587158,289.6277161,61.95647049,-4.54E-06,0,0,2582.734131,1501.318481,0,23.83820152,2904.681152,11.83294773,11.83302021,971.1625366,1942.231079,49.96807098,49.9683876,100,0,0,344.9821472,0,7.92489624,17.1699028,17.170784,0,1.034000039,0.906761765,50,0.099999994,2.292334318,0,0,0,0,5.697542781,0,0,0,0.002474915,-0.002488815,0,-1.39E-05,100.3328552,100.3344116,790.4790649,790.4802246,790.4802246,550.2294922,0,0,23.83820152,0.0011,0.022000002,0.032999996,0.044,5655.817383,114276.5313,0.021269055,0,3.14E-05,107.3559875,0,0.000168947,1.69E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,1,1,1.000000119,0
90,155.481842,309.9786987,327.8122253,327.8113708,292.1450806,292.1459656,16515.81836,33031.63672,66.97802734,66.97806549,1917.129517,3834.182861,1915.847168,3831.583984,289.6283264,61.958004,-4.08E-06,0,0,2582.729492,1501.317627,0,23.84434891,2904.62793,11.83333588,11.83341312,971.156311,1942.218506,49.97299957,49.9733696,100,0,0,344.9829407,0,7.92489624,17.17071533,17.17159653,0,1.034000039,0.906761765,50,0.099999994,2.29237628,0,0,0,0,5.225157624,0,0,0,0.002474915,-0.00247493,0,-1.50E-08,100.3325653,100.3325729,790.4714355,790.4714355,790.4714355,550.2250366,0,0,23.84434891,0.0011,0.022000002,0.032999996,0.044,5655.817383,114276.5313,0.021269055,0,3.14E-05,120.6921692,0,0.000168947,1.69E-05,0,0,23.70000076,0,0,1600,0,50,0,0,0,50,50,200,1,1,1.000000119,0
