hmi_RCSCT5_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT405_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT1734_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,time
851.004,2563.5,72.9175,72.9175,72.8991,72.8991,78.3553,78.3471,115.971,112.743,67.0079,143.362,325.794,292.83,292.83,325.16,292.842,292.842,344.729,12.5266,0.0,43.6654,1
850.662,2408.72,73.0829,73.0829,73.0173,73.0173,78.5188,78.2925,119.201,112.918,67.0078,121.666,324.491,292.898,292.893,324.414,292.819,292.819,344.012,0.410088,0.089717,50.5187,2
850.618,2329.16,73.329,73.329,73.2247,73.2246,78.7852,78.3499,119.662,113.876,67.0076,116.257,322.818,293.295,293.287,322.665,293.092,293.092,341.821,-1.59702,0.200327,57.0812,3
850.627,1323.27,76.7309,76.7308,76.6794,76.6789,77.8163,77.1897,119.662,115.008,67.0075,111.958,321.417,293.772,293.763,321.173,293.358,293.358,337.443,-3.22011,0.30146,63.402,4
850.827,360.565,78.7749,78.7748,78.7164,78.716,74.7648,73.8789,119.662,115.296,67.0073,108.535,320.306,294.378,294.368,320.034,293.625,293.625,330.91,-4.58435,0.395672,70.3908,5
851.341,339.179,80.0381,80.0381,79.9798,79.9795,72.7242,71.458,119.662,114.677,67.0072,104.328,318.921,295.346,295.329,318.683,294.243,294.243,322.913,-6.16282,0.482725,76.6768,6
852.883,327.93,80.6498,80.6497,80.6039,80.6038,71.4708,69.5927,118.826,113.716,67.007,99.8616,317.325,296.681,296.66,317.014,295.263,295.263,311.982,-7.26257,0.56087,81.445,7
859.616,315.521,80.6802,80.6801,80.6718,80.6719,70.4079,68.3172,105.075,103.588,67.0069,95.6447,315.528,298.108,298.085,315.397,296.087,296.087,305.317,-8.13717,0.631977,85.0521,8
883.366,304.966,80.4259,80.4258,80.4184,80.4185,68.9948,67.5103,89.7938,86.7018,67.0068,92.3863,314.347,297.297,297.31,314.194,296.952,296.952,302.753,-9.12136,0.697929,87.9312,9
983.371,294.987,80.1379,80.1378,80.1421,80.1421,67.4427,66.5874,93.5942,90.4206,67.0066,90.5314,313.275,296.302,296.324,313.263,296.279,296.279,300.988,-9.3261,0.759592,90.34,10
1072.48,286.556,79.6893,79.6893,79.7019,79.702,65.759,65.6129,106.649,105.069,67.0418,89.6232,312.315,295.344,295.355,312.657,295.935,295.935,299.707,-9.34492,0.816091,92.3665,11
986.963,281.262,79.1684,79.1684,79.1855,79.1856,63.0811,64.1004,109.112,107.882,67.119,88.1014,311.471,294.622,294.631,311.973,295.315,295.315,298.384,-9.7483,0.868464,94.0798,12
920.569,305.914,78.554,78.553,78.5642,78.5633,60.5324,62.0023,108.893,107.763,67.1525,87.0326,310.654,293.942,293.951,310.972,294.412,294.412,297.241,-9.52569,0.919157,95.6362,13
906.869,218.378,77.8601,77.8593,77.865,77.8643,58.4529,60.1009,104.883,103.816,67.1692,86.4965,309.99,293.397,293.406,310.197,293.655,293.655,295.927,-9.14598,0.968925,97.0612,14
950.528,269.465,77.2564,77.2552,77.2568,77.2557,56.7748,58.4458,102.391,101.229,67.178,87.5546,309.262,292.974,292.983,309.33,293.032,293.03,295.182,-7.50261,1.02063,98.4603,15
1010.39,266.004,76.8617,76.86,76.8602,76.8586,55.7683,57.336,97.0183,95.9483,67.185,86.4964,308.818,292.648,292.657,308.755,292.562,292.562,294.506,-7.76703,1.07174,99.8162,16
1017.95,262.808,76.6505,76.6494,76.6499,76.6488,55.1719,56.6182,93.5325,92.3833,67.192,87.2343,308.264,292.341,292.351,308.292,292.28,292.279,293.615,-6.69776,1.12119,101.05,17
988.162,260.057,76.3766,76.378,76.3744,76.3759,54.1765,55.5091,77.9611,76.4248,67.1993,89.2871,307.526,291.896,291.908,307.5,291.819,291.819,292.455,-4.45184,1.17341,102.307,18
965.213,258.414,76.0803,76.0816,76.0651,76.0667,52.5597,53.7379,65.2914,50.4817,67.2071,91.5627,306.956,291.496,291.575,306.901,291.48,291.48,291.319,-2.29262,1.22584,103.495,19
940.09,257.058,75.8267,75.8278,75.8017,75.8037,51.5276,52.0348,86.5486,0.0,67.2147,85.7025,309.444,292.247,293.072,306.446,291.237,291.237,292.084,-8.98441,1.27171,104.514,20
946.69,255.259,75.3172,75.3179,75.2877,75.2898,50.806,50.4138,88.524,0.0,67.222,83.9462,308.582,291.935,292.707,305.94,290.862,290.861,291.674,-9.45736,1.31378,105.423,21
964.303,253.316,74.9261,74.926,74.8907,74.8932,49.974,48.6906,86.4632,0.0,67.2293,82.4616,307.409,291.745,292.445,305.535,290.606,290.605,291.511,-9.44136,1.35463,106.26,22
969.486,251.428,74.625,74.6197,74.5572,74.5566,49.6599,47.6814,83.4414,0.0,67.2362,81.6633,307.833,291.374,292.072,305.028,290.254,290.254,290.68,-10.4988,1.39367,107.014,23
