hmi_RCSCT5_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT405_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT1734_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,time
850.989,2379.28,72.9334,72.9333,72.9079,72.9079,78.3549,78.3447,117.318,113.396,67.0079,136.415,326.163,292.801,292.801,325.055,292.811,292.811,344.712,8.08397,0.00780535,44.5001,1
850.662,2130.22,73.1311,73.1307,73.0584,73.0583,78.5554,78.3018,119.662,113.936,67.0078,120.246,324.052,292.933,292.926,324.04,292.851,292.851,343.928,-0.103895,0.114382,52.1911,2
850.625,1811.49,75.2954,75.2942,75.2509,75.2501,78.8048,78.3589,119.662,115.876,67.0076,114.086,322.257,293.376,293.367,322.119,293.156,293.156,341.608,-2.55259,0.268764,61.5451,3
850.651,649.834,78.2288,78.2291,78.1863,78.1865,76.1339,75.4389,119.662,117.869,67.0075,109.333,320.732,293.946,293.935,320.43,293.473,293.473,337.027,-4.42847,0.392428,68.9546,4
850.881,343.449,80.6569,80.6574,80.6177,80.6184,72.8163,71.8977,119.662,117.698,67.0073,104.929,319.267,294.823,294.806,319.015,294.008,294.008,329.969,-6.15502,0.508946,77.1355,5
851.365,331.533,82.4144,82.4121,82.3744,82.3734,70.1511,68.8069,119.662,115.918,67.0072,100.641,317.661,296.359,296.33,317.4,295.131,295.131,321.321,-7.11826,0.612526,83.4846,6
853.682,320.062,83.3919,83.393,83.3769,83.378,67.665,65.8966,119.662,115.855,67.007,97.1678,316.456,298.915,298.977,316.084,296.392,296.392,309.23,-8.08387,0.704258,87.986,7
862.41,308.863,83.765,83.7665,83.7611,83.7622,65.2024,63.6155,96.3761,80.9103,67.0069,94.1433,315.128,298.016,298.078,314.999,297.811,297.813,304.199,-8.72359,0.787664,91.4022,8
935.036,298.895,83.7819,83.7833,83.7861,83.7871,62.9337,61.8447,97.8261,89.3227,67.0068,92.3879,314.014,296.959,297.017,314.148,297.15,297.15,302.422,-8.92154,0.861248,94.0607,9
1078.17,287.871,83.5004,83.5009,83.5086,83.509,60.6976,60.2019,99.4361,96.9745,67.0507,91.7268,313.028,295.946,295.967,313.452,296.589,296.589,301.113,-8.67632,0.928921,96.2678,10
1000.4,284.187,82.9604,82.9591,82.9668,82.9673,58.9688,59.0328,106.594,104.149,67.1271,89.8553,312.32,295.349,295.369,312.64,295.767,295.767,299.836,-9.16423,0.9907,98.107,11
926.14,280.158,82.3192,82.3176,82.3149,82.318,57.7,58.1523,103.688,101.272,67.1577,88.8725,311.472,294.641,294.66,311.592,294.756,294.756,298.144,-8.81317,1.05325,99.8418,12
896.2,276.624,81.7511,81.7502,81.7483,81.7522,54.9265,55.8999,91.4272,78.5098,67.1719,97.5899,310.62,294.142,294.225,310.682,294.193,294.193,296.938,-2.04173,1.11955,101.529,13
888.255,273.939,81.2855,81.2871,81.2674,81.2742,52.4356,53.4018,85.5064,50.512,67.1805,96.7876,310.101,293.656,293.849,310.168,293.822,293.822,295.486,-2.03912,1.19025,103.284,14
915.092,271.523,80.9787,80.9772,80.9493,80.9538,51.1506,51.5391,99.5457,0.0,67.1875,90.7836,312.819,294.363,295.252,309.467,293.347,293.346,295.945,-8.69463,1.2557,104.826,15
977.852,268.722,80.7579,80.7592,80.7343,80.7396,50.2938,49.8132,99.6656,0.0,67.1944,88.4721,311.99,293.832,294.657,308.654,292.782,292.782,295.031,-9.49846,1.31673,106.205,16
997.832,266.005,80.5949,80.5965,80.5871,80.5887,49.4474,46.921,96.9443,0.0,67.202,87.0569,310.39,293.604,294.378,308.303,292.618,292.618,294.679,-8.92615,1.37478,107.419,17
962.018,263.843,80.4413,80.4433,80.4377,80.4394,47.3861,44.595,91.4259,0.0,67.2092,85.6913,310.379,293.342,294.071,307.881,292.303,292.303,294.008,-9.92825,1.4299,108.531,18
926.267,261.411,80.2344,80.232,80.229,80.227,45.0568,43.8296,84.4344,0.0,67.2162,84.0731,310.388,292.806,293.488,307.097,291.726,291.725,292.91,-11.1656,1.48154,109.541,19
912.273,258.796,80.0142,80.0135,79.9663,79.9685,43.4137,43.0985,73.8449,0.0,67.2232,82.8698,308.788,292.128,292.727,306.327,291.136,291.135,291.649,-10.4991,1.52873,110.407,20
912.19,256.534,79.7401,79.7346,79.6255,79.6257,42.5321,42.2996,66.7775,0.0,67.2302,81.3245,307.668,291.514,292.087,305.46,290.53,290.53,290.435,-10.6057,1.57135,111.148,21
922.111,254.369,79.4222,79.4144,79.2145,79.2164,41.6988,41.5206,60.2419,0.0,67.2374,79.9526,307.283,291.191,291.733,305.172,290.194,290.194,289.812,-11.3345,1.6108,111.816,22
930.89,252.213,79.0533,79.0438,78.7574,78.7604,40.9457,40.8426,52.5926,0.0,67.2447,78.6468,307.232,290.786,291.289,304.716,289.787,289.787,289.044,-12.3679,1.64751,112.42,23
931.378,250.149,78.6485,78.6377,78.276,78.2797,40.3036,40.3228,43.9382,0.0,67.2525,77.6401,306.015,290.615,291.087,303.956,289.549,289.549,288.801,-12.0031,1.68114,112.949,24
926.981,248.315,78.2177,78.2062,77.79,77.794,39.793,40.036,37.2916,0.0,67.2598,76.6346,306.415,290.38,290.965,303.941,289.413,289.413,288.131,-13.269,1.71169,113.395,25
