hmi_RCSCT5_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT405_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT1734_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,time
851.021,1658.92,72.9582,72.9582,72.9152,72.9152,78.3546,78.3413,119.662,115.885,67.0079,129.192,326.137,292.755,292.755,324.935,292.764,292.764,344.693,3.65509,0.00752025,44.0851,1
850.719,1192.4,73.7615,73.7616,73.6688,73.6684,78.6642,78.3185,119.662,117.171,67.0078,115.902,322.939,293.12,293.081,323.006,292.883,292.883,343.912,-2.03091,0.220269,57.735,2
850.655,427.172,76.708,76.7079,76.6553,76.6549,77.5554,76.8426,119.662,119.662,67.0076,107.447,320.434,293.881,293.832,320.372,293.301,293.301,341.568,-5.51053,0.493648,72.5056,3
850.7,328.712,78.2815,78.2815,78.2459,78.2455,74.5522,73.4454,119.662,119.662,67.0075,99.9436,318.064,294.878,294.822,317.849,293.834,293.834,336.801,-7.95007,0.71262,84.6093,4
851.002,316.282,78.8525,78.8525,78.8269,78.8268,72.2677,70.8376,119.662,119.662,67.0073,94.4361,316.023,296.79,296.687,315.737,294.989,294.989,329.36,-9.4242,0.905561,94.1399,5
851.971,306.476,78.8639,78.8639,78.8413,78.8413,70.4381,68.9629,107.731,83.4171,67.0072,91.5611,314.665,297.057,297.164,314.24,296.643,296.644,317.941,-10.0028,1.06161,100.114,6
863.971,300.963,78.6154,78.6153,78.6177,78.6178,68.9045,67.5801,112.038,90.2695,67.007,90.1159,313.578,295.748,295.951,313.408,296.07,296.07,303.237,-9.91964,1.15115,103.191,7
1007.47,294.669,78.0065,78.0064,78.0075,78.0076,67.1756,66.4512,87.3249,74.1724,67.0069,87.4669,311.715,294.324,294.434,311.941,294.491,294.491,297.794,-10.1771,1.22461,105.042,8
1234.52,289.666,77.3017,77.3017,77.3032,77.3033,64.257,64.221,68.1855,53.8758,67.0068,84.2652,310.303,293.009,293.146,310.246,292.892,292.891,295.153,-10.9333,1.28536,106.47,9
1220.65,290.401,76.5859,76.5847,76.5814,76.5807,60.277,60.4107,82.0836,61.8933,67.0383,88.0846,309.265,291.986,292.182,309.142,291.902,291.901,292.965,-7.05207,1.33633,107.557,10
