hmi_RCSCT5_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT405_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT1734_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,time
850.993,1770.45,72.993,72.993,72.928,72.9279,78.3597,78.3396,119.662,113.777,67.0079,128.933,326.234,292.746,292.746,324.906,292.754,292.754,344.686,3.39379,0.00852882,44.1365,1
850.713,1286.11,73.8766,73.8767,73.7257,73.7253,78.7901,78.2942,119.662,111.378,67.0078,115.36,322.68,293.377,293.257,322.89,292.877,292.877,343.899,-2.29265,0.219706,57.7324,2
850.657,437.345,76.8187,76.8187,76.7394,76.7389,77.7716,76.6731,119.662,115.03,67.0076,106.19,319.93,294.546,294.377,319.951,293.269,293.269,341.527,-5.95818,0.511,73.2972,3
850.725,330.5,78.2474,78.2474,78.2132,78.2129,74.9831,73.0861,119.662,118.094,67.0075,99.0496,317.484,295.899,295.73,317.475,293.792,293.792,336.706,-7.92575,0.739189,85.6638,4
851.069,317.686,78.6564,78.6563,78.6305,78.6304,72.5203,70.509,119.662,109.503,67.0073,93.9116,315.663,297.783,297.969,315.388,294.917,294.917,329.198,-9.41203,0.929292,94.9914,5
852.569,308.408,78.6739,78.6738,78.6664,78.6664,70.5753,68.8144,110.825,76.6348,67.0072,91.5444,314.625,297.008,297.209,314.135,296.558,296.558,317.57,-9.9743,1.08091,100.704,6
866.017,302.201,77.9618,77.9618,78.0978,78.098,68.5364,67.5574,119.542,91.9539,67.007,88.9565,312.318,293.954,294.159,313.235,295.794,295.795,302.101,-10.3965,1.18199,104.014,7
1168.88,297.201,77.2472,77.2471,77.2314,77.2315,62.6503,66.627,119.662,119.662,67.0069,86.3197,310.961,292.301,292.413,311.008,293.331,293.331,295.794,-10.0881,1.26951,106.162,8
1045.81,293.897,76.5291,76.529,76.6,76.6,59.1388,64.0717,119.662,0.0,67.0068,87.103,309.381,291.112,292.179,310.902,293.593,293.592,297.28,-9.40406,1.35736,108.203,9
960.184,288.325,76.0655,76.0655,76.18,76.18,56.6858,63.0723,30.016,13.3601,67.0406,87.939,312.334,294.577,294.792,310.52,293.318,293.317,297.656,-10.2264,1.41784,109.505,10
871.521,284.719,75.4786,75.4797,75.6656,75.6658,53.4179,62.292,84.242,0.0,67.1174,82.9513,310.835,293.414,293.946,309.86,292.664,292.663,295.581,-12.4826,1.4647,110.453,11
954.459,281.209,74.5408,74.542,74.8023,74.8025,48.1978,60.1511,0.0,119.662,67.1514,60.4427,310.155,292.508,292.973,308.262,291.347,291.346,292.873,-33.2104,1.52157,111.47,12
962.944,279.263,74.0692,74.0685,74.2531,74.2529,42.789,56.4573,119.662,0.0,67.1684,77.7532,311.245,287.855,288.894,307.353,290.687,290.686,291.433,-17.1367,1.57705,112.461,13
1076.74,273.721,73.623,73.6197,73.5956,73.594,42.4355,53.7717,31.5257,31.2673,67.1779,74.9433,308.65,289.927,289.907,306.045,289.264,289.265,288.443,-16.994,1.66765,114.128,14
1046.61,272.433,73.2026,73.1982,73.0813,73.0791,41.8732,51.3813,32.9729,8.63006,67.1847,70.2679,305.239,288.65,288.94,305.794,288.901,288.901,285.814,-18.4855,1.70991,114.962,15
1015.53,269.359,72.6772,72.6671,71.8981,71.9012,41.1158,48.896,39.3694,0.458931,67.1916,69.0756,305.487,287.957,288.672,303.282,285.395,285.395,285.218,-19.3436,1.73919,115.358,16
975.71,266.078,72.1139,72.102,71.3825,71.3884,39.6315,41.9101,57.4917,0.0,67.1986,69.2639,303.74,286.92,287.426,304.032,288.747,288.747,282.674,-17.7031,1.76827,115.728,17
995.778,263.436,71.7198,71.7233,71.2242,71.2243,39.4464,40.2326,57.0566,4.70244,67.2058,69.1863,304.152,287.408,287.894,304.546,287.784,287.783,284.014,-18.2936,1.81209,116.355,18
1046.8,261.347,71.2495,71.2535,70.9143,70.9144,39.2275,39.5095,51.3115,11.3269,67.2134,67.2471,303.166,286.404,286.805,303.737,286.91,286.91,282.212,-19.4286,1.85484,117.027,19
1083.73,258.988,70.6774,70.6816,70.5642,70.5643,38.7535,39.0617,49.338,11.6088,67.2212,65.2992,301.923,285.31,285.717,303.931,286.068,286.069,280.323,-21.6424,1.88911,117.53,20
1111.5,256.669,70.0136,70.0182,70.1822,70.1821,38.1674,39.0436,48.4248,11.3172,67.2288,63.6326,300.987,284.332,284.752,303.476,285.126,285.129,278.656,-22.9712,1.9188,117.901,21
1122.11,254.477,69.3372,69.3463,69.7403,69.7341,37.7072,38.9702,47.1255,10.5216,67.2367,62.1733,300.167,283.443,283.875,302.82,284.232,284.235,277.173,-23.9194,1.94608,118.225,22
1112.79,252.394,68.6745,68.6807,69.2331,69.2221,37.6576,38.8061,46.1586,9.63156,67.2446,60.8444,299.348,282.601,283.046,302.138,283.378,283.38,275.797,-24.7343,1.97046,118.423,23
1099.54,250.388,68.0803,68.0873,68.6954,68.6837,37.951,38.605,44.3355,8.46919,67.2523,59.6071,298.543,281.794,282.248,301.457,282.561,282.564,274.498,-25.4778,1.98739,118.327,24
1093.63,248.446,67.5008,67.5077,68.1523,68.14,38.5723,38.4939,42.4691,6.96923,67.2603,58.3888,297.729,280.98,281.448,300.831,281.754,281.756,273.203,-26.2854,2.00096,118.242,25
1096.9,246.574,66.9163,66.9233,67.6215,67.6086,38.9931,38.5135,41.0027,5.71814,67.2682,57.1709,296.915,280.146,280.631,300.227,280.933,280.935,271.889,-27.1447,2.01343,118.162,26
1107.61,244.777,66.3291,66.3364,67.1119,67.0983,39.2955,38.6425,39.5564,4.77805,67.2763,55.952,296.092,279.292,279.795,299.64,280.097,280.099,270.552,-28.0527,2.02509,118.083,27
1124.93,243.052,65.7382,65.7459,66.6264,66.6119,39.5233,38.8353,38.1026,4.39947,67.2844,54.7121,295.428,278.416,278.931,299.053,279.231,279.233,269.181,-29.0199,2.03604,118.005,28
1145.55,241.393,65.1546,65.1629,66.1665,66.1511,39.6993,39.0506,36.699,4.31361,67.2925,53.4404,294.897,277.507,278.029,298.467,278.327,278.33,267.742,-30.0631,2.04626,117.927,29
1165.51,239.794,64.6063,64.6151,65.729,65.7129,39.9366,39.2665,34.7724,4.14054,67.3008,52.1103,294.245,276.548,277.073,297.891,277.371,277.375,266.205,-31.2286,2.056,117.854,30
1182.05,238.249,64.0863,64.0956,65.3084,65.2918,40.2283,39.4639,31.5321,3.22825,67.3095,50.6207,293.452,275.502,276.04,297.315,276.324,276.33,264.518,-32.6507,2.06517,117.783,31
1204.49,236.75,63.5859,63.5952,64.9029,64.8861,40.5049,39.641,27.9316,1.93446,67.3176,49.027,292.534,274.313,274.903,296.705,275.136,275.145,262.557,-34.2358,2.0734,117.707,32
1238.84,235.288,63.0817,63.0828,64.5163,64.5047,40.7126,39.7994,24.8479,0.958435,67.3262,47.2208,291.506,272.963,273.669,296.04,273.795,273.806,260.315,-36.1311,2.08064,117.623,33
1272.27,233.862,62.5265,62.5265,64.1778,64.1702,40.7401,39.9803,22.3471,0.396054,67.3347,45.3055,290.404,271.482,272.398,295.319,272.329,272.343,257.849,-38.2117,2.0871,117.533,34
1299.9,232.479,61.9262,61.9263,63.8268,63.8192,40.7274,40.1763,20.2457,0.0602429,67.3435,43.3333,289.235,269.899,271.312,294.54,270.764,270.782,255.221,-40.4126,2.09291,117.438,35
1326.21,231.131,61.2861,61.2862,63.467,63.4595,40.6847,40.3552,18.3782,0.0378652,67.3516,41.3242,287.973,268.219,269.862,293.678,269.11,269.133,252.449,-42.351,2.09813,117.341,36
1364.85,229.806,60.6224,60.6225,63.1024,63.0949,40.7299,40.5242,16.7261,0.029766,67.3607,39.2261,286.645,266.419,268.185,292.699,267.328,267.355,249.472,-43.8775,2.10277,117.24,37
1432.71,228.525,59.9392,59.9394,62.7314,62.724,40.8117,40.6983,15.2223,0.0136018,67.3694,37.0146,285.258,264.437,266.399,291.292,265.372,265.402,246.2,-45.297,2.10676,117.135,38
1685.46,227.394,59.2407,59.2408,62.3169,62.3096,40.9408,40.8406,13.767,2.52617,67.3784,34.8975,284.023,262.389,263.429,289.531,263.342,263.218,242.886,-46.4671,2.11009,117.019,39
1625.93,226.29,58.524,58.5241,61.837,61.8298,41.0471,40.7086,12.6619,0.128669,67.3871,32.2486,282.387,259.839,261.216,288.465,260.853,260.989,238.546,-49.4427,2.11253,116.892,40
1711.17,225.08,57.8615,57.8616,61.3637,61.3565,41.2097,40.616,13.3928,0.0,67.3959,33.7738,281.52,258.649,260.033,287.338,259.836,259.888,237.039,-45.9331,2.11438,116.762,41
1618.25,223.82,57.1823,57.1824,60.9488,60.9416,41.4255,40.918,10.8203,0.0,67.4048,29.85,279.581,256.934,258.823,286.374,258.459,258.447,234.543,-51.4378,2.11708,116.663,42
1808.94,222.939,56.5117,56.5118,60.4588,60.4517,41.537,40.7374,10.7609,0.0266302,67.4141,29.1378,278.22,255.854,256.808,283.468,271.699,267.63,233.289,-49.8329,2.12061,116.679,43
