Variable,hmi_MFWFT511_VALUE,hmi_MFWFT521_VALUE,hmi_TCSWT1_VALUE,hmi_RRCNP10_VALUE,hmi_RCSTT499B_VALUE,hmi_RCSCT5_VALUE,hmi_RRCYT100_VALUE,hmi_MGPWT11_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPV455B_VALUE,hmi_RCSPV455C_VALUE,hmi_MRSFT512_VALUE,hmi_MRSFT522_VALUE,hmi_MRSFT532_VALUE,hmi_MRSFT542_VALUE,hmi_MRSFT510_VALUE,hmi_MRSFT520_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT501_VALUE_BAR,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_AFWFT2_VALUE,hmi_AFWFT9_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSFT434_VALUE,hmi_RCSFT444_VALUE,hmi_RCSLT459_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT403_VALUE,hmi_RCSPT405_VALUE,hmi_RCSPT455A_VALUE,hmi_RCSPT469A_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT468A_VALUE,hmi_RCSTC502_VALUE,hmi_RCSTT1734_VALUE,hmi_RCSTT1735_VALUE,hmi_CVCFT121_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT161B_VALUE,hmi_RHRFT988_VALUE,hmi_HPCFT918_VALUE,hmi_HPCFT922_VALUE,hmi_CSSFT5_VALUE,hmi_CSSFT11_VALUE,hmi_ASILT950_VALUE,hmi_ASILT952_VALUE,hmi_ASILT954_VALUE,hmi_MGPWT1_VALUE,hmi_ASILT956_VALUE,hmi_CTMCT27_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,hmi_CPSRT591_VALUE,hmi_MGPWT01_VALUE,hmi_HPCPT947_VALUE
0.000,102.25,102.674,1405.95,59.4808,309.056,850.989,381.0,99.8308,2379.28,72.9334,72.9333,72.9079,72.9079,0,0,563.144,563.145,563.721,563.714,1136.91,1140.79,78.3549,78.3549,78.3447,54.1372,54.1149,0.0,0.0,117.318,113.396,110.953,111.036,52.7977,67.0079,136.415,136.415,156.858,0.0218531,309.121,326.163,292.801,309.026,292.801,325.055,292.811,292.811,336.122,293.058,293.058,344.712,344.782,40.3762,309.128,8.08397,8.08397,6.00762,3.34316,1.16496,0.145014,0.0,0.0,0.0,0.0,1.35899e-05,53.6741,54.402,54.0328,1405.95,53.7876,27.6953,0.00780535,44.5001,0.263007,1405.95,0.00164564
1.000,101.725,102.633,1405.04,53.1752,309.056,850.662,381.0,99.7569,2130.22,73.1311,73.1307,73.0584,73.0583,0,0,580.509,580.565,558.092,558.065,1131.94,1141.85,78.5554,78.5554,78.3018,54.5364,54.0206,0.0,0.0,119.662,113.936,112.905,112.909,49.8087,67.0078,120.246,120.246,155.169,0.0,308.59,324.052,292.933,308.571,292.926,324.04,292.851,292.851,322.934,293.043,293.042,343.928,344.782,40.3762,308.59,-0.103895,-0.103895,7.19063,3.19942,1.25365,0.141498,0.0,0.0,0.0,0.0,6.45034e-06,53.6741,54.402,54.0328,1405.04,53.7876,35.0792,0.114382,52.1911,0.263064,1405.04,0.00164564
2.000,99.354,100.027,331.645,43.4432,301.969,850.625,295.085,38.0155,1811.49,75.2954,75.2942,75.2509,75.2501,0,0,594.887,595.015,554.729,554.689,1126.26,1141.46,78.8048,78.8048,78.3589,55.0327,54.1452,0.0,0.0,119.662,115.876,113.097,113.102,41.3879,67.0076,114.086,114.086,150.463,0.0,307.887,322.257,293.376,307.823,293.367,322.119,293.156,293.156,321.24,292.992,292.992,341.608,344.782,40.3762,307.887,-2.55259,-2.55259,8.27906,3.03998,1.17159,0.136728,0.0,0.0,0.0,1.7813e-05,0.0,53.6741,54.402,54.0328,331.645,53.7876,85.2258,0.268764,61.5451,0.263536,331.645,0.323801
3.000,81.7994,82.5709,119.729,13.5621,300.522,850.651,138.874,9.8835,649.834,78.2288,78.2291,78.1863,78.1865,0,0,156.03,156.798,99.2309,98.6191,1044.25,1054.96,76.1339,76.1339,75.4389,49.2601,47.734,0.0,0.0,119.662,117.869,112.391,112.392,26.3897,67.0075,109.333,109.333,141.735,0.0,307.373,320.732,293.946,307.244,293.935,320.43,293.473,293.473,321.433,292.888,292.888,337.027,344.782,40.3762,307.373,-4.42847,-4.42847,8.57507,2.85344,1.2618,0.136482,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,119.729,53.7876,100.0,0.392428,68.9546,0.264715,119.729,27.777
4.000,68.1899,69.0334,44.5378,8.59039,300.376,850.881,0.0,3.48413,343.449,80.6569,80.6574,80.6177,80.6184,0,0,141.736,143.211,92.0926,91.4412,818.593,834.599,72.8163,72.8163,71.8977,41.9749,39.9576,0.0,0.0,119.662,117.698,112.057,112.057,6.93017,67.0073,104.929,104.929,129.196,0.0,307.061,319.267,294.823,306.895,294.806,319.015,294.008,294.008,320.586,292.729,292.729,329.969,344.782,40.3762,307.061,-6.15502,-6.15502,11.0975,2.31015,1.2618,0.142257,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,44.5378,53.7876,100.0,0.508946,77.1355,0.266424,44.5378,121.138
5.000,58.485,59.4786,15.0659,8.30056,300.273,851.365,0.0,1.23401,331.533,82.4144,82.4121,82.3744,82.3734,0,0,114.575,114.938,70.4233,70.6377,664.547,683.643,70.1511,70.1511,68.8069,36.1223,33.1704,0.0,0.0,119.662,115.918,111.203,111.202,0.0,67.0072,100.641,100.641,119.522,0.0,307.005,317.661,296.359,306.85,296.33,317.4,295.131,295.131,317.465,292.539,292.539,321.321,344.782,40.3762,307.005,-7.11826,-7.11826,12.618,1.98155,1.2618,0.142563,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,15.0659,53.7876,100.0,0.612526,83.4846,0.268488,15.0659,135.117
6.000,46.1048,46.7404,-2.82385,8.00862,300.193,853.682,0.0,0.0,320.062,83.3919,83.393,83.3769,83.378,0,0,99.1462,100.26,54.5853,54.5663,495.754,522.565,67.665,67.665,65.8966,30.663,26.7795,0.0,0.0,119.662,115.855,110.033,110.03,0.0,67.007,97.1678,97.1678,119.522,0.0,307.873,316.456,298.915,307.696,298.977,316.084,296.392,296.392,308.575,292.285,292.285,309.23,344.782,40.3762,307.873,-8.08387,-8.08387,12.618,1.8382,1.2618,0.139951,0.0,0.0,0.0,0.0,6.48551e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,0.704258,87.986,0.270798,0.0,133.168
7.000,29.018,29.4387,-16.0786,7.73078,300.12,862.41,0.0,0.0,308.863,83.765,83.7665,83.7611,83.7622,0,0,78.8122,79.2679,68.2897,68.2243,322.466,333.156,65.2024,65.2024,63.6155,25.2552,21.7704,0.0,0.0,96.3761,80.9103,104.246,104.067,0.0,67.0069,94.1433,94.1433,119.522,0.0,306.649,315.128,298.016,306.602,298.078,314.999,297.811,297.813,304.194,292.184,292.187,304.199,344.782,40.3762,306.649,-8.72359,-8.72359,12.618,1.975,1.2618,0.136937,0.0,0.0,1.73286,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,0.787664,91.4022,0.273243,0.0,133.607
8.000,0.0,0.0,-18.5193,7.47613,300.069,935.036,0.0,0.0,298.895,83.7819,83.7833,83.7861,83.7871,0,0,70.0863,69.3602,68.901,69.5375,114.376,117.036,62.9337,62.9337,61.8447,20.2732,17.8818,0.0,0.0,97.8261,89.3227,85.8684,85.8472,0.0,67.0068,92.3879,92.3879,119.522,0.0,305.6,314.014,296.959,305.674,297.017,314.148,297.15,297.15,302.432,292.15,292.158,302.422,344.782,40.3763,305.705,-8.92154,-8.92154,12.618,2.11145,1.2618,0.13921,0.0,0.0275833,3.06769,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,0.861248,94.0607,0.275696,0.0,134.581
9.000,2.52095,1.72292,-19.2087,7.21482,300.018,1078.17,0.0,0.0,287.871,83.5004,83.5009,83.5086,83.509,0,0,59.13,58.8651,68.8084,68.9154,0.0,0.0,60.6976,60.6976,60.2019,15.3629,14.2743,0.0,0.0,99.4361,96.9745,93.5275,93.5275,0.0,67.0507,91.7268,91.7268,119.522,0.0,304.561,313.028,295.946,304.78,295.967,313.452,296.589,296.589,301.135,292.13,292.141,301.113,344.782,40.3771,305.086,-8.67632,-8.67632,12.618,2.52777,1.2618,0.14147,0.0,7.19217,15.7602,9.99982e-06,8.36542e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,0.928921,96.2678,0.27811,0.0,135.792
10.000,2.02616,1.59594,-19.3207,7.11904,299.974,1000.4,0.0,0.0,284.187,82.9604,82.9591,82.9668,82.9673,0,0,69.4806,70.3254,80.4285,79.7966,6.95951,0.0,58.9688,58.9688,59.0328,11.5666,11.7072,0.0,0.0,106.594,104.149,103.139,103.142,0.0,67.1271,89.8553,89.8553,119.522,0.0,303.914,312.32,295.349,304.093,295.369,312.64,295.767,295.767,299.838,292.112,292.128,299.836,344.782,40.3784,304.308,-9.16423,-9.16423,12.618,2.57284,1.2618,0.144046,0.0,22.0748,21.7223,5.46724e-06,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,0.9907,98.107,0.280435,0.0,138.001
11.000,1.09665,1.06376,-19.246,7.02759,299.929,926.14,0.0,0.0,280.158,82.3192,82.3176,82.3149,82.318,0,0,74.0123,75.6734,77.517,83.2601,5.52275,1.67256,57.7,57.7,58.1523,8.78037,9.77353,0.0,0.0,103.688,101.272,103.609,103.614,0.0,67.1577,88.8725,88.8725,119.522,0.0,303.139,311.472,294.641,303.221,294.66,311.592,294.756,294.756,298.121,292.088,292.106,298.144,344.782,40.379,303.284,-8.81317,-8.81317,12.618,2.60593,1.2618,0.151612,0.0,19.2069,18.6752,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.05325,99.8418,0.282777,0.0,147.671
12.000,0.605863,0.576873,-19.0458,6.93098,299.892,896.2,0.0,0.0,276.624,81.7511,81.7502,81.7483,81.7522,0,0,61.3015,63.3101,60.7445,66.8374,3.74115,2.33576,54.9265,54.9265,55.8999,6.06498,7.34895,0.0,0.0,91.4272,78.5098,84.6845,84.6531,0.0,67.1719,97.5899,97.5899,119.522,0.0,302.41,310.62,294.142,302.469,294.225,310.682,294.193,294.193,296.956,292.074,292.098,296.938,344.782,40.3793,302.469,-2.04173,-2.04173,12.618,2.62733,1.2618,0.152715,0.0,17.4631,16.884,1.87062e-05,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.11955,101.529,0.285306,0.0,150.794
13.000,0.295423,0.296609,-18.8387,6.8735,299.855,888.255,0.0,0.0,273.939,81.2855,81.2871,81.2674,81.2742,0,0,41.0025,39.986,38.3292,47.5332,2.44958,2.11402,52.4356,52.4356,53.4018,3.75589,5.17687,0.0,0.0,85.5064,50.512,65.4449,65.4511,0.0,67.1805,96.7876,96.7876,119.522,0.0,301.907,310.101,293.656,302.019,293.849,310.168,293.822,293.822,295.506,292.059,292.093,295.486,344.782,40.3795,302.019,-2.03912,-2.03912,12.618,2.63956,1.2618,0.152637,0.475229,20.7779,20.2867,1.4809e-05,1.09014e-05,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.19025,103.284,0.288047,0.0,150.983
14.000,0.134019,0.135716,-18.6783,6.80995,299.815,915.092,0.0,0.0,271.523,80.9787,80.9772,80.9493,80.9538,0,0,40.9126,40.0574,9.73036,20.0742,1.1037,1.08911,51.1506,51.1506,51.5391,2.5028,3.04916,0.0,0.0,99.5457,0.0,80.8399,80.8848,0.0,67.1875,90.7836,90.7836,119.522,0.0,303.645,312.819,294.363,302.436,295.252,309.467,293.347,293.346,295.967,292.081,292.118,295.945,344.782,40.3797,303.645,-8.69463,-8.69463,12.618,2.64463,1.2618,0.152642,0.0,22.6702,22.2177,1.91779e-05,2.07418e-05,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.2557,104.826,0.290751,0.0,150.938
15.000,0.0093796,0.00892363,-18.5217,6.73952,299.743,977.852,0.0,0.0,268.722,80.7579,80.7592,80.7343,80.7396,0,0,25.1193,24.4247,0.0,0.0,0.522087,0.551348,50.2938,50.2938,49.8132,1.5039,0.308557,0.0,0.0,99.6656,0.0,75.3338,75.3383,0.0,67.1944,88.4721,88.4721,119.522,0.0,303.058,311.99,293.832,301.721,294.657,308.654,292.782,292.782,295.098,292.076,292.113,295.031,344.782,40.3799,303.058,-9.49846,-9.49846,12.618,2.64392,1.2618,0.152718,0.0,23.6221,23.1953,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.31673,106.205,0.293293,0.0,151.296
16.000,0.00108193,0.000919422,-18.316,6.67202,299.719,997.832,0.0,0.0,266.005,80.5949,80.5965,80.5871,80.5887,0,0,5.99177,5.50775,0.0,0.0,0.0184095,0.0184049,49.4474,49.4474,46.921,0.0,0.0,0.0,0.0,96.9443,0.0,70.7309,70.7468,0.0,67.202,87.0569,87.0569,119.522,0.0,302.214,310.39,293.604,301.381,294.378,308.303,292.618,292.618,294.737,292.08,292.119,294.679,344.782,40.3802,302.214,-8.92615,-8.92615,12.618,2.6387,1.2618,0.15213,0.0,24.4194,24.017,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.37478,107.419,0.295753,0.0,150.533
17.000,0.00289724,0.00258106,-18.1586,6.619,299.685,962.018,0.0,0.0,263.843,80.4413,80.4433,80.4377,80.4394,0,0,0.0,0.0,0.0,0.0,0.0180002,0.0179943,47.3861,47.3861,44.595,0.0,0.0,0.0,0.0,91.4259,0.0,76.2171,76.2474,0.0,67.2092,85.6913,85.6913,119.522,0.0,301.735,310.379,293.342,301.011,294.071,307.881,292.303,292.303,293.98,292.08,292.12,294.008,344.782,40.3805,301.735,-9.92825,-9.92825,12.618,2.62978,1.2618,0.151442,0.0,25.25,24.8716,1.61585e-05,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.4299,108.531,0.298124,0.0,149.267
18.000,0.00858068,0.00830676,-18.0584,6.55638,299.652,926.267,0.0,0.0,261.411,80.2344,80.232,80.229,80.227,0,0,0.0,0.0,0.0,0.0,0.0175837,0.0175756,45.0568,45.0568,43.8296,0.0,0.0,0.0,0.0,84.4344,0.0,71.1586,71.1957,0.0,67.2162,84.0731,84.0731,119.522,0.0,301.592,310.388,292.806,300.381,293.488,307.097,291.726,291.725,292.89,294.176,294.176,292.91,344.782,40.3808,301.592,-11.1656,-11.1656,12.5451,2.61749,1.2618,0.150703,0.0,26.0663,25.7091,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.48154,109.541,0.300377,0.0,147.859
19.000,0.00310494,0.00644931,-17.9466,6.49112,299.619,912.273,0.0,0.0,258.796,80.0142,80.0135,79.9663,79.9685,0,0,0.0,0.0,0.0,0.0,0.0171496,0.017138,43.4137,43.4137,43.0985,0.0,0.0,0.0,0.0,73.8449,0.0,64.1496,64.171,0.0,67.2232,82.8698,82.8698,119.522,0.0,300.662,308.788,292.128,299.632,292.727,306.327,291.136,291.135,291.667,292.59,292.589,291.649,344.782,40.3812,300.662,-10.4991,-10.4991,12.1457,2.60328,1.2618,0.150739,0.0,26.7229,26.3858,9.67189e-06,6.64174e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.52873,110.407,0.302478,0.0,147.731
20.000,0.010059,0.0120008,-17.824,6.43549,299.586,912.19,0.0,0.0,256.534,79.7401,79.7346,79.6255,79.6257,0,0,0.0,2.28105,0.0,0.0,0.0167522,0.0167369,42.5321,42.5321,42.2996,0.0,0.0,0.0,0.0,66.7775,0.0,63.4087,63.4279,0.0,67.2302,81.3245,81.3245,119.522,0.0,299.683,307.668,291.514,298.824,292.087,305.46,290.53,290.53,290.445,291.46,291.46,290.435,344.782,40.3815,299.683,-10.6057,-10.6057,11.8143,2.58715,1.2618,0.151182,0.0,27.5228,27.2035,1.23974e-05,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.57135,111.148,0.304414,0.0,148.151
21.000,0.0255308,0.0157723,-17.7378,6.38119,299.556,922.111,0.0,0.0,254.369,79.4222,79.4144,79.2145,79.2164,0,0,0.0,2.59423,0.0,0.0,0.0163739,0.0163527,41.6988,41.6988,41.5206,0.0,0.0,0.0,0.0,60.2419,0.0,66.5324,66.5682,0.0,67.2374,79.9526,79.9526,119.522,0.0,299.278,307.283,291.191,298.516,291.733,305.172,290.194,290.194,289.818,290.875,290.874,289.812,344.782,40.382,299.278,-11.3345,-11.3345,11.5341,2.56963,1.2618,0.151554,0.0,28.1939,27.8909,0.0,1.01478e-05,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.6108,111.816,0.306211,0.0,148.648
22.000,0.0100549,0.0168179,-17.6432,6.3266,299.528,930.89,0.0,0.0,252.213,79.0533,79.0438,78.7574,78.7604,0,0,0.0,4.37996,0.0,0.0,0.0160128,0.0159836,40.9457,40.9457,40.8426,0.0,0.0,0.0,0.0,52.5926,0.0,65.9335,65.9734,0.0,67.2447,78.6468,78.6468,119.522,0.0,299.158,307.232,290.786,298.124,291.289,304.716,289.787,289.787,289.083,290.112,290.11,289.044,344.782,40.3824,299.158,-12.3679,-12.3679,11.2929,2.55089,1.2618,0.151123,0.0,28.7341,28.471,0.0,1.27323e-05,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.64751,112.42,0.307895,0.0,147.875
23.000,0.0145792,0.0169202,-17.6074,6.27571,299.503,931.378,0.0,0.0,250.149,78.6485,78.6377,78.276,78.2797,0,0,0.0,6.31695,0.0,0.0,0.015658,0.0156178,40.3036,40.3036,40.3228,0.0,0.0,0.0,0.0,43.9382,0.0,60.4924,60.5126,0.0,67.2525,77.6401,77.6401,119.522,0.0,298.516,306.015,290.615,297.599,291.087,303.956,289.549,289.549,288.881,289.672,289.671,288.801,344.782,40.3829,298.516,-12.0031,-12.0031,11.0803,2.53103,1.2618,0.150459,0.000764995,29.2151,28.9404,8.49902e-06,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.68114,112.949,0.309458,0.0,146.667
24.000,0.0193997,0.0171198,-17.5302,6.22975,299.482,926.981,0.0,0.0,248.315,78.2177,78.2062,77.79,77.794,0,0,0.0,7.99305,0.0,0.0,0.0152987,0.0152444,39.793,39.793,40.036,0.0,0.0,0.0,0.0,37.2916,0.0,53.1208,53.1279,0.0,67.2598,76.6346,76.6346,119.522,0.0,298.305,306.415,290.38,297.428,290.965,303.941,289.413,289.413,288.074,289.165,289.164,288.131,344.782,40.3834,298.305,-13.269,-13.269,10.9149,2.51014,1.2618,0.149627,0.000902304,29.801,29.5408,1.48631e-06,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.71169,113.395,0.310896,0.0,145.309
25.000,0.0144212,0.0177658,-17.4876,6.18654,299.456,924.645,0.0,0.0,246.589,77.7439,77.732,77.2811,77.2852,0,0,0.0,8.56734,0.0,0.0,0.014958,0.014883,39.3842,39.3842,39.8793,0.0,0.0,0.0,0.0,37.2729,5.66828,49.8368,49.8307,0.0,67.2675,75.3665,75.3665,119.522,0.0,297.699,305.35,289.974,296.837,290.371,303.301,289.117,289.117,287.664,288.529,288.528,287.629,344.782,40.3839,297.699,-13.3167,-13.3167,10.779,2.48772,1.2618,0.149756,0.00131323,30.5052,30.2579,1.59234e-06,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.74037,113.78,0.312238,0.0,145.314
26.000,0.0167139,0.0183783,-17.436,6.14358,299.431,928.823,0.0,0.0,244.864,77.2449,77.233,76.761,76.7646,0,0,0.0,8.7382,0.0,0.0,0.0145907,0.0144895,39.0547,39.0547,39.8067,0.0,0.0,0.764474,6.29083,37.0294,7.7164,45.3396,45.3268,0.0,67.2768,73.7003,73.7003,119.522,0.0,297.309,305.12,289.432,296.317,289.805,302.711,288.66,288.66,286.78,287.642,287.64,286.719,344.782,40.3846,297.309,-14.5853,-14.5853,10.6724,2.46507,1.2618,0.150051,0.0015729,31.2328,30.9967,0.0,1.57753e-05,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.76873,114.161,0.313532,0.0,145.654
27.000,0.0181885,0.0182093,-17.3645,6.1006,299.406,936.051,0.0,0.0,243.175,76.7272,76.7181,76.2489,76.249,0,0,0.0,7.81084,0.0,0.0,0.0141711,0.0140423,38.783,38.783,39.7766,0.0,0.0,26.2832,28.3254,36.2027,10.505,43.8746,43.8577,0.0,67.2837,72.3397,72.3397,119.522,0.0,296.539,303.893,289.034,295.888,289.349,302.352,288.345,288.346,286.18,286.997,286.996,286.15,344.782,40.3851,296.539,-14.6146,-14.6146,10.592,2.44222,1.2618,0.150415,0.00176386,31.7149,31.4675,1.10618e-05,1.99945e-05,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.79672,114.537,0.314788,0.0,146.167
