Variable,hmi_MFWFT511_VALUE,hmi_MFWFT521_VALUE,hmi_TCSWT1_VALUE,hmi_RRCNP10_VALUE,hmi_RCSTT499B_VALUE,hmi_RCSCT5_VALUE,hmi_RRCYT100_VALUE,hmi_MGPWT11_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPV455B_VALUE,hmi_RCSPV455C_VALUE,hmi_MRSFT512_VALUE,hmi_MRSFT522_VALUE,hmi_MRSFT532_VALUE,hmi_MRSFT542_VALUE,hmi_MRSFT510_VALUE,hmi_MRSFT520_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT501_VALUE_BAR,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_AFWFT2_VALUE,hmi_AFWFT9_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSFT434_VALUE,hmi_RCSFT444_VALUE,hmi_RCSLT459_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT403_VALUE,hmi_RCSPT405_VALUE,hmi_RCSPT455A_VALUE,hmi_RCSPT469A_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT468A_VALUE,hmi_RCSTC502_VALUE,hmi_RCSTT1734_VALUE,hmi_RCSTT1735_VALUE,hmi_CVCFT121_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT161B_VALUE,hmi_RHRFT988_VALUE,hmi_HPCFT918_VALUE,hmi_HPCFT922_VALUE,hmi_CSSFT5_VALUE,hmi_CSSFT11_VALUE,hmi_ASILT950_VALUE,hmi_ASILT952_VALUE,hmi_ASILT954_VALUE,hmi_MGPWT1_VALUE,hmi_ASILT956_VALUE,hmi_CTMCT27_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,hmi_CPSRT591_VALUE,hmi_MGPWT01_VALUE,hmi_HPCPT947_VALUE
0.000,102.25,102.674,1405.95,59.4808,309.056,850.989,381.0,99.8312,2379.28,72.9334,72.9334,72.9079,72.9079,0,0,563.144,563.144,563.72,563.714,1136.91,1140.79,78.3549,78.3549,78.3447,54.1372,54.1149,0.0,0.0,117.318,113.396,110.953,111.036,52.7977,67.0079,136.415,136.415,156.858,0.0218531,309.121,326.163,292.801,309.026,292.801,325.055,292.811,292.811,336.122,293.058,293.058,344.712,344.782,40.3762,309.128,8.08397,8.08397,6.00841,3.34316,1.16496,0.145014,0.0,0.0,0.0,0.0,1.35899e-05,53.6741,54.402,54.0328,1405.95,53.7876,27.6953,0.00780535,44.5001,0.263007,1405.95,0.00164564
1.000,101.725,102.633,1405.04,53.1752,309.056,850.662,381.0,99.7568,2130.22,73.1312,73.1307,73.0585,73.0584,0,0,580.503,580.559,558.086,558.059,1131.93,1141.85,78.5554,78.5554,78.3017,54.5363,54.0206,0.0,0.0,119.662,113.936,112.905,112.909,49.8087,67.0078,120.246,120.246,155.169,0.0,308.59,324.052,292.933,308.571,292.926,324.04,292.851,292.851,322.934,293.043,293.042,343.928,344.782,40.3762,308.59,-0.103895,-0.103895,7.19128,3.19942,1.25365,0.141498,0.0,0.0,0.0,0.0,6.45034e-06,53.6741,54.402,54.0328,1405.04,53.7876,35.0792,0.114382,52.1911,0.263064,1405.04,0.00164564
2.000,99.3539,100.027,331.645,43.4432,301.969,850.625,295.085,38.0155,1811.49,75.2956,75.2944,75.2511,75.2502,0,0,594.876,595.005,554.719,554.679,1126.26,1141.46,78.8047,78.8047,78.3588,55.0325,54.145,0.0,0.0,119.662,115.876,113.097,113.101,41.3879,67.0076,114.086,114.086,150.463,0.0,307.887,322.257,293.376,307.823,293.367,322.119,293.156,293.156,321.24,292.992,292.992,341.608,344.782,40.3762,307.887,-2.55259,-2.55259,8.27929,3.03998,1.17159,0.136728,0.0,0.0,0.0,1.7813e-05,0.0,53.6741,54.402,54.0328,331.645,53.7876,85.2258,0.268764,61.5451,0.263536,331.645,0.323801
3.000,81.8132,82.5846,120.028,13.5629,300.522,850.651,138.874,9.92683,649.843,78.2291,78.2294,78.1866,78.1868,0,0,156.007,156.775,99.2091,98.5977,1044.02,1054.73,76.1336,76.1336,75.4386,49.2596,47.7334,0.0,0.0,119.662,117.869,112.391,112.392,26.3897,67.0075,109.333,109.333,141.735,0.0,307.373,320.732,293.946,307.244,293.935,320.43,293.473,293.473,321.433,292.888,292.888,337.027,344.782,40.3762,307.373,-4.42847,-4.42847,8.57866,2.85344,1.2618,0.136537,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,120.028,53.7876,100.0,0.392428,68.9546,0.264715,120.028,27.7229
4.000,68.2082,69.0515,44.5591,8.59094,300.376,850.881,0.0,3.48717,343.482,80.6574,80.658,80.6182,80.619,0,0,141.438,142.007,91.8464,91.7591,823.748,839.577,72.8874,72.8874,71.9797,42.1309,40.1377,0.0,0.0,119.662,117.699,112.009,112.012,7.41905,67.0073,105.014,105.014,129.531,0.0,307.061,319.267,294.823,306.895,294.807,319.014,294.008,294.008,320.635,292.733,292.733,330.166,344.782,40.3762,307.061,-6.10491,-6.10491,11.1,2.31016,1.2618,0.142251,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,44.5591,53.7876,100.0,0.508947,77.1355,0.266424,44.5591,121.069
5.000,58.8348,59.8188,15.0701,8.29943,300.275,851.368,0.0,1.23407,331.579,82.3792,82.3799,82.3395,82.3405,0,0,114.534,114.896,70.3862,70.6006,664.752,683.845,70.1502,70.1502,68.8061,36.1203,33.1687,0.0,0.0,119.662,115.92,111.204,111.202,0.0,67.0072,100.637,100.637,119.522,0.0,307.005,317.66,296.359,306.85,296.33,317.399,295.132,295.132,317.465,292.539,292.539,321.321,344.782,40.3762,307.005,-7.12019,-7.12019,12.618,1.98915,1.2618,0.142518,0.0,0.0,0.0,1.3448e-06,0.0,53.6741,54.402,54.0328,15.0701,53.7876,100.0,0.612542,83.4853,0.268488,15.0701,135.285
6.000,46.1546,46.7877,-2.81872,8.0088,300.194,853.737,0.0,0.0,320.052,83.3927,83.3938,83.3778,83.3789,0,0,98.9167,99.1282,52.7619,53.3702,499.091,526.228,67.7234,67.7234,65.962,30.7912,26.9233,0.0,0.0,119.662,115.22,109.976,109.975,0.0,67.007,97.2571,97.2571,119.522,0.0,307.872,316.455,298.915,307.696,298.976,316.084,296.393,296.393,308.784,292.29,292.29,309.468,344.782,40.3762,307.872,-8.02643,-8.02643,12.618,1.83824,1.2618,0.139952,0.0,0.0,0.0,0.0,6.48551e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,0.704262,87.9864,0.270798,0.0,133.168
7.000,29.0798,29.4988,-16.0778,7.7302,300.12,862.849,0.0,0.0,308.884,83.7658,83.7672,83.7619,83.763,0,0,78.1753,77.7527,66.4546,67.0062,327.042,337.95,65.2626,65.2626,63.6652,25.3873,21.8795,0.0,0.0,96.5378,81.2652,101.717,101.714,0.0,67.0069,94.2139,94.2139,119.522,0.0,306.675,315.128,298.015,306.621,298.077,315.001,297.819,297.819,304.243,292.185,292.188,304.252,344.782,40.3762,306.675,-8.67638,-8.67638,12.618,1.97502,1.2618,0.136937,0.0,0.0,1.73286,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,0.787703,91.4034,0.273243,0.0,133.605
8.000,0.0,0.0,-18.5189,7.47437,300.072,939.995,0.0,0.0,298.849,83.7828,83.7843,83.7871,83.7881,0,0,70.0673,69.3409,68.9024,69.5386,115.057,117.7,62.932,62.932,61.8447,20.2696,17.8818,0.0,0.0,97.8381,89.3357,85.8684,85.869,0.0,67.0068,92.4017,92.4017,119.522,0.0,305.6,314.014,296.959,305.675,297.017,314.149,297.151,297.151,302.434,292.15,292.158,302.424,344.782,40.3763,305.706,-8.91286,-8.91286,12.618,2.11146,1.2618,0.139211,0.0,0.0275608,3.06178,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,0.861306,94.0626,0.275697,0.0,134.58
9.000,2.50844,1.7293,-19.2081,7.21016,300.026,1104.72,0.0,0.0,287.754,83.5018,83.5023,83.5099,83.5102,0,0,59.204,58.9402,68.711,68.8196,0.0,0.0,60.6971,60.6971,60.2013,15.3618,14.2731,0.0,0.0,99.4714,97.0094,93.5289,93.5314,0.0,67.0507,91.7186,91.7186,119.522,0.0,304.563,313.031,295.948,304.78,295.969,313.452,296.59,296.59,301.139,292.13,292.141,301.117,344.782,40.3771,305.087,-8.68212,-8.68212,12.618,2.52775,1.2618,0.141473,0.0,7.16295,15.7601,9.99982e-06,8.36542e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,0.928984,96.27,0.27811,0.0,135.794
