Variable,hmi_MFWFT511_VALUE,hmi_MFWFT521_VALUE,hmi_TCSWT1_VALUE,hmi_RRCNP10_VALUE,hmi_RCSTT499B_VALUE,hmi_RCSCT5_VALUE,hmi_RRCYT100_VALUE,hmi_MGPWT11_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPV455B_VALUE,hmi_RCSPV455C_VALUE,hmi_MRSFT512_VALUE,hmi_MRSFT522_VALUE,hmi_MRSFT532_VALUE,hmi_MRSFT542_VALUE,hmi_MRSFT510_VALUE,hmi_MRSFT520_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_AFWFT2_VALUE,hmi_AFWFT9_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSFT434_VALUE,hmi_RCSFT444_VALUE,hmi_RCSLT459_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT403_VALUE,hmi_RCSPT405_VALUE,hmi_RCSPT455A_VALUE,hmi_RCSPT469A_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT468A_VALUE,hmi_RCSTC502_VALUE,hmi_RCSTT1734_VALUE,hmi_RCSTT1735_VALUE,hmi_CVCFT121_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT161B_VALUE,hmi_RHRFT988_VALUE,hmi_HPCFT918_VALUE,hmi_HPCFT922_VALUE,hmi_CSSFT5_VALUE,hmi_CSSFT11_VALUE,hmi_ASILT950_VALUE,hmi_ASILT952_VALUE,hmi_ASILT954_VALUE,hmi_MGPWT1_VALUE,hmi_ASILT956_VALUE,hmi_CTMCT27_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,hmi_CPSRT591_VALUE,hmi_MGPWT01_VALUE,hmi_HPCPT947_VALUE
0.000,102.231,102.766,1408.54,40.2423,309.056,851.016,381.0,100.005,1700.95,72.9469,72.9468,72.9105,72.9105,0,0,563.49,563.49,563.766,563.766,1137.04,1140.98,78.3536,78.3424,54.1344,54.1099,0.0,0.0,119.662,115.638,112.897,113.147,52.7468,67.0079,130.115,130.115,156.833,0.02376,308.961,326.047,292.766,309.016,292.767,324.97,292.776,292.776,334.598,293.058,293.058,344.699,344.782,40.3762,309.024,4.32695,4.32695,5.47031,4.43227,1.08084,0.140896,0.0,0.0,0.0,0.0,1.35899e-05,53.6741,54.402,54.0328,1408.54,53.7876,27.695,0.00589838,44.014,0.263007,1408.54,0.00164564
1.000,101.793,102.833,1409.88,32.3776,309.056,850.698,373.19,100.088,1292.33,73.1812,73.1811,73.0943,73.0942,0,0,586.431,586.442,559.538,559.51,1131.73,1142.79,78.6213,78.3167,54.6675,54.0533,0.0,0.0,119.662,117.711,117.46,117.406,49.8019,67.0078,116.918,116.918,155.08,0.0,308.172,323.173,293.04,308.183,293.021,323.216,292.877,292.877,321.064,293.043,293.043,343.926,344.782,40.3762,308.183,-1.53765,-1.53765,5.979,4.05937,1.07287,0.136149,0.0,0.0,0.0,0.0,6.45034e-06,53.6741,54.402,54.0328,1409.88,53.7876,41.3627,0.201329,56.8949,0.263092,1409.88,0.00164564
2.000,99.5148,100.149,227.46,11.1188,300.71,850.646,216.979,17.2416,1025.24,76.5295,76.5294,76.4906,76.4901,0,0,168.602,168.718,101.936,101.334,1115.07,1125.86,77.8104,77.2479,52.9416,51.7064,0.0,0.0,119.662,119.662,119.474,119.444,41.3868,67.0076,108.816,108.816,150.287,0.0,307.351,320.878,293.653,307.27,293.63,320.725,293.275,293.275,318.536,292.993,292.993,341.608,344.782,40.3762,307.351,-4.95138,-4.95138,6.40805,3.75143,0.993341,0.131281,0.0,0.0,0.0,1.7813e-05,0.0,53.6741,54.402,54.0328,227.46,53.7876,100.0,0.44139,70.3565,0.264162,227.46,0.311371
3.000,85.3754,86.066,70.1556,8.29424,300.481,850.691,60.7695,5.3673,332.777,78.3902,78.3901,78.3534,78.353,0,0,212.428,212.507,167.192,166.655,1045.83,1055.98,74.6096,73.7673,45.9129,44.0632,0.0,0.0,119.662,119.662,119.412,119.384,26.0138,67.0075,102.275,102.275,141.255,0.0,306.648,318.747,294.469,306.508,294.443,318.457,293.761,293.761,318.374,292.887,292.887,336.903,344.782,40.3762,306.648,-7.21178,-7.21178,6.4247,3.64909,1.24191,0.131009,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,70.1556,53.7876,100.0,0.637251,81.5584,0.26683,70.1556,24.6172
4.000,75.639,76.3534,28.5547,7.95717,300.358,850.978,0.0,2.2235,317.978,79.2028,79.2028,79.1695,79.1693,0,0,229.144,229.2,186.868,186.525,835.653,849.891,72.3248,71.1217,40.8957,38.2537,0.0,0.0,119.662,119.662,118.295,118.263,6.03722,67.0073,96.8083,96.8083,128.251,0.0,306.353,316.766,295.974,306.178,295.92,316.423,294.748,294.748,317.605,292.722,292.722,329.602,344.782,40.3762,306.353,-8.62454,-8.62454,7.79088,3.52452,1.2618,0.128114,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,28.5547,53.7876,100.0,0.813019,91.0247,0.270588,28.5547,122.448
5.000,69.1195,69.7822,6.1205,7.71373,300.263,851.721,0.0,0.551437,308.053,79.3526,79.3526,79.3261,79.3261,0,0,226.836,226.894,198.237,198.165,699.724,710.497,70.6616,69.2439,37.2432,34.1301,0.0,0.0,119.662,98.6003,103.752,103.703,0.0,67.0072,93.2401,93.2401,119.522,0.0,306.574,315.266,297.645,306.467,297.802,314.867,297.209,297.209,316.034,292.484,292.484,318.693,344.782,40.3762,306.574,-9.46381,-9.46381,9.1738,3.35187,1.2618,0.127494,0.0,0.0,0.0,1.3448e-06,0.0,53.6741,54.402,54.0328,6.1205,53.7876,100.0,0.963074,97.2643,0.274889,6.1205,137.836
6.000,60.2374,60.4866,-11.0932,7.56777,300.185,858.603,0.0,0.0,301.795,79.1696,79.1695,79.1685,79.1686,0,0,212.849,212.912,187.703,187.738,571.071,580.842,69.2846,67.9269,34.2195,31.238,0.0,0.0,111.414,83.3805,82.8663,82.8182,0.0,67.007,91.0186,91.0186,119.522,0.0,305.625,314.302,296.615,305.469,296.794,313.903,296.598,296.599,303.728,292.192,292.192,304.529,344.782,40.3762,305.625,-10.0143,-10.0143,10.3553,3.11408,1.2618,0.125764,0.0,0.0,0.0,0.0,6.48551e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.0587,100.678,0.278804,0.0,138.872
7.000,50.1592,50.0597,-17.7056,7.47013,300.116,938.599,0.0,0.0,298.07,78.6704,78.6704,78.6825,78.6826,0,0,167.661,167.715,178.051,178.149,439.305,441.834,67.6595,66.8593,30.6509,28.8937,0.0,0.0,99.0068,86.5841,90.2844,90.2637,0.0,67.0069,89.2335,89.2335,119.522,0.0,303.775,312.362,294.9,304.016,295.006,312.755,295.472,295.472,299.096,292.087,292.093,299.112,344.782,40.3762,304.251,-9.71934,-9.71934,11.3015,1.73197,1.2618,0.122782,0.0,0.0,1.73872,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.14032,102.864,0.28221,0.0,140.958
8.000,35.0035,34.9664,-19.0389,7.34784,300.065,1166.49,0.0,0.0,293.228,78.0773,78.0772,78.0777,78.0777,0,0,134.691,134.739,143.762,143.877,297.567,298.765,65.7514,65.6821,26.463,26.3085,0.0,0.0,76.8378,66.2485,98.9756,99.0301,0.0,67.0068,86.4236,86.4236,119.522,0.0,302.641,311.168,293.918,302.798,294.011,311.342,293.981,293.98,296.885,292.045,292.063,296.898,344.782,40.3763,302.81,-10.3456,-10.3456,12.101,1.59011,1.2618,0.128758,0.0,0.0276315,3.07068,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.20956,104.598,0.285381,0.0,141.168
9.000,3.89101,3.13665,-19.2481,7.23058,300.015,1155.63,0.0,0.0,288.169,77.3795,77.3786,77.3854,77.3846,0,0,114.022,114.056,117.187,117.28,143.311,142.106,61.9501,62.3257,22.3248,22.7507,0.0,0.0,99.5153,84.5913,92.7256,92.7691,0.0,67.0393,85.8001,85.8001,119.522,0.0,301.451,309.894,292.676,301.529,292.763,310.087,292.877,292.877,295.05,292.012,292.041,295.047,344.782,40.3769,301.529,-9.55468,-9.55468,12.618,1.44641,1.2618,0.125252,0.0,8.85877,20.8462,9.99982e-06,8.36542e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.2686,105.975,0.288171,0.0,142.125
