Variable,hmi_MFWFT511_VALUE,hmi_MFWFT521_VALUE,hmi_TCSWT1_VALUE,hmi_RRCNP10_VALUE,hmi_RCSTT499B_VALUE,hmi_RCSCT5_VALUE,hmi_RRCYT100_VALUE,hmi_MGPWT11_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPV455B_VALUE,hmi_RCSPV455C_VALUE,hmi_MRSFT512_VALUE,hmi_MRSFT522_VALUE,hmi_MRSFT532_VALUE,hmi_MRSFT542_VALUE,hmi_MRSFT510_VALUE,hmi_MRSFT520_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT501_VALUE_BAR,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_AFWFT2_VALUE,hmi_AFWFT9_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSFT434_VALUE,hmi_RCSFT444_VALUE,hmi_RCSLT459_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT403_VALUE,hmi_RCSPT405_VALUE,hmi_RCSPT455A_VALUE,hmi_RCSPT469A_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT468A_VALUE,hmi_RCSTC502_VALUE,hmi_RCSTT1734_VALUE,hmi_RCSTT1735_VALUE,hmi_CVCFT121_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT161B_VALUE,hmi_RHRFT988_VALUE,hmi_HPCFT918_VALUE,hmi_HPCFT922_VALUE,hmi_CSSFT5_VALUE,hmi_CSSFT11_VALUE,hmi_ASILT950_VALUE,hmi_ASILT952_VALUE,hmi_ASILT954_VALUE,hmi_MGPWT1_VALUE,hmi_ASILT956_VALUE,hmi_CTMCT27_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,hmi_CPSRT591_VALUE,hmi_MGPWT01_VALUE,hmi_HPCPT947_VALUE
0.000,102.195,102.781,1408.59,38.6393,309.056,851.021,381.0,100.009,1648.39,72.9555,72.9555,72.9142,72.9142,0,0,563.647,563.647,563.575,563.575,1137.0,1141.02,78.3543,78.3543,78.3415,54.1361,54.1078,0.0,0.0,119.662,115.988,113.373,113.621,52.7282,67.0079,129.621,129.621,156.822,0.0224584,308.95,326.118,292.757,309.006,292.757,324.942,292.766,292.766,334.145,293.058,293.058,344.694,344.782,40.3762,309.014,3.94474,3.94474,5.48036,4.42649,1.2618,0.140491,0.0,0.0,0.0,0.0,1.35899e-05,53.6741,54.402,54.0328,1408.59,53.7876,27.6956,0.00720002,44.0709,0.263007,1408.59,0.00164564
1.000,101.282,102.333,1410.1,22.5027,307.263,850.716,357.568,100.103,1076.23,73.7538,73.7539,73.6671,73.6667,0,0,588.766,588.778,558.897,558.864,1131.03,1143.01,78.6536,78.6536,78.3211,54.7319,54.0631,0.0,0.0,119.662,117.461,118.282,118.237,49.7624,67.0078,116.099,116.099,155.043,0.0,308.11,322.987,293.1,308.124,293.067,323.089,292.883,292.883,320.633,293.043,293.043,343.915,344.782,40.3762,308.124,-1.97635,-1.97635,6.00059,4.04573,1.2618,0.135375,0.0,0.0,0.0,0.0,6.45034e-06,53.6741,54.402,54.0328,1410.1,53.7876,42.2757,0.216885,57.5765,0.263095,1410.1,0.00164564
2.000,100.196,100.93,206.96,10.2735,300.664,850.654,201.359,16.1495,424.605,76.6988,76.6987,76.6513,76.6508,0,0,182.465,182.562,110.783,110.195,1111.86,1123.55,77.5341,77.5341,76.8665,52.3348,50.8689,0.0,0.0,119.662,119.662,119.662,119.662,41.2755,67.0076,107.63,107.63,150.185,0.0,307.264,320.53,293.822,307.199,293.781,320.434,293.298,293.298,317.907,292.993,292.993,341.576,344.782,40.3762,307.264,-5.4719,-5.4719,6.44124,3.73161,1.19961,0.130297,0.0,0.0,0.0,1.7813e-05,0.0,53.6741,54.402,54.0328,206.96,53.7876,100.0,0.481211,71.9765,0.264304,206.96,0.309207
3.000,89.2786,89.9558,65.178,8.1914,300.465,850.697,45.1485,4.98175,327.887,78.3047,78.3046,78.2682,78.2679,0,0,224.824,224.896,173.326,172.824,1037.76,1048.83,74.5083,74.5083,73.4703,45.6904,43.4111,0.0,0.0,119.662,119.662,119.662,119.662,25.7536,67.0075,100.252,100.252,141.039,0.0,306.543,318.163,294.771,306.408,294.724,317.923,293.83,293.83,317.57,292.885,292.885,336.818,344.782,40.3762,306.543,-7.85943,-7.85943,6.48117,3.61857,1.2618,0.129843,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,65.178,53.7876,100.0,0.694906,83.8988,0.267329,65.178,24.5296
4.000,79.8281,80.4289,25.8298,7.89855,300.346,850.995,0.0,2.02419,315.609,78.9029,78.9028,78.8769,78.8768,0,0,229.57,229.618,187.847,187.563,831.467,848.81,72.2408,72.2408,70.8597,40.7112,37.6784,0.0,0.0,119.662,119.662,119.517,119.483,5.52971,67.0073,94.8511,94.8511,127.824,0.0,306.325,316.109,296.642,306.133,296.54,315.806,294.957,294.957,316.846,292.718,292.718,329.394,344.782,40.3762,306.325,-9.23747,-9.23747,7.8696,3.49036,1.2618,0.127119,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,25.8298,53.7876,100.0,0.883936,93.4228,0.271572,25.8298,121.504
5.000,73.8869,74.4849,4.43949,7.66307,300.253,851.888,0.0,0.444463,306.037,78.9226,78.9225,78.8988,78.8989,0,0,222.459,222.517,193.248,193.239,699.411,708.752,70.4473,70.4473,68.9866,36.7726,33.5651,0.0,0.0,107.996,85.9987,103.481,103.433,0.0,67.0072,91.7186,91.7186,119.522,0.0,306.025,314.732,297.123,305.848,297.219,314.284,296.693,296.693,315.502,292.472,292.471,318.09,344.782,40.3762,306.025,-9.96246,-9.96246,9.26257,3.3449,1.2618,0.126742,0.0,0.0,0.0,1.3448e-06,0.0,53.6741,54.402,54.0328,4.43949,53.7876,100.0,1.03975,99.4905,0.276399,4.43949,136.225
6.000,65.5817,65.7716,-12.8487,7.53189,300.174,862.836,0.0,0.0,300.579,78.6826,78.6825,78.6848,78.6849,0,0,196.577,196.637,178.438,178.481,572.567,579.473,68.9539,68.9539,67.6169,33.4933,30.5573,0.0,0.0,113.323,89.2401,80.0014,79.9476,0.0,67.007,90.1778,90.1778,119.522,0.0,304.959,313.678,295.865,304.914,296.074,313.471,296.147,296.147,302.599,292.171,292.171,303.423,344.782,40.3762,305.054,-9.97616,-9.97616,10.4323,3.09166,1.2618,0.125386,0.0,0.0,0.0,0.0,6.48551e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.12955,102.607,0.28053,0.0,138.074
7.000,56.0535,56.1452,-17.992,7.37605,300.107,996.295,0.0,0.0,294.307,78.0923,78.0922,78.0961,78.0962,0,0,160.052,160.102,168.395,168.508,439.657,442.834,67.2499,67.2499,66.5157,29.7514,28.1391,0.0,0.0,89.0705,76.1491,95.7137,95.6961,0.0,67.0069,87.6631,87.6631,119.522,0.0,303.275,311.823,294.41,303.479,294.518,312.096,294.662,294.662,297.955,292.067,292.074,297.986,344.782,40.3763,303.581,-10.1895,-10.1895,11.3828,1.75161,1.2618,0.121302,0.0,0.0,1.73895,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.20436,104.536,0.283919,0.0,139.696
8.000,42.0711,42.0773,-19.0844,7.25236,300.084,1232.54,0.0,0.0,289.371,77.4049,77.4049,77.4028,77.4029,0,0,131.187,131.222,129.964,130.092,305.921,309.455,64.4608,64.4608,64.4614,25.3632,24.868,0.0,0.0,67.8927,56.8667,90.9548,91.0433,0.0,67.0068,84.3364,84.3364,119.522,0.0,301.871,310.381,293.139,301.916,293.247,310.34,292.99,292.99,295.402,292.018,292.037,295.4,344.782,40.3763,301.916,-10.9562,-10.9562,12.1955,1.59897,1.2618,0.129684,0.0,0.02759,3.06592,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.26649,106.002,0.286977,0.0,139.696
9.000,13.7864,13.5802,-19.2081,7.27122,300.034,1199.14,0.0,0.0,290.275,76.7098,76.7086,76.7085,76.7078,0,0,109.985,110.121,104.865,104.985,162.955,164.739,60.6052,60.6052,60.6578,21.3381,21.1994,0.0,0.0,86.9285,64.0127,79.9925,80.0638,0.0,67.0383,91.1067,91.1067,119.522,0.0,300.896,309.383,292.129,300.877,292.278,309.228,291.987,291.986,293.369,291.982,292.014,293.334,344.782,40.3769,300.896,-5.03476,-5.03476,12.618,1.44637,1.2618,0.122682,0.0,9.8961,23.0509,9.99982e-06,8.36542e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.31643,107.11,0.289384,0.0,141.106
