Variable,hmi_MFWFT511_VALUE,hmi_MFWFT521_VALUE,hmi_TCSWT1_VALUE,hmi_RRCNP10_VALUE,hmi_RCSTT499B_VALUE,hmi_RCSCT5_VALUE,hmi_RRCYT100_VALUE,hmi_MGPWT11_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPV455B_VALUE,hmi_RCSPV455C_VALUE,hmi_MRSFT512_VALUE,hmi_MRSFT522_VALUE,hmi_MRSFT532_VALUE,hmi_MRSFT542_VALUE,hmi_MRSFT510_VALUE,hmi_MRSFT520_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_AFWFT2_VALUE,hmi_AFWFT9_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSFT434_VALUE,hmi_RCSFT444_VALUE,hmi_RCSLT459_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT403_VALUE,hmi_RCSPT405_VALUE,hmi_RCSPT455A_VALUE,hmi_RCSPT469A_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT468A_VALUE,hmi_RCSTC502_VALUE,hmi_RCSTT1734_VALUE,hmi_RCSTT1735_VALUE,hmi_CVCFT121_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT161B_VALUE,hmi_RHRFT988_VALUE,hmi_HPCFT918_VALUE,hmi_HPCFT922_VALUE,hmi_CSSFT5_VALUE,hmi_CSSFT11_VALUE,hmi_ASILT950_VALUE,hmi_ASILT952_VALUE,hmi_ASILT954_VALUE,hmi_MGPWT1_VALUE,hmi_ASILT956_VALUE,hmi_CTMCT27_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,hmi_CPSRT591_VALUE,hmi_MGPWT01_VALUE,hmi_HPCPT947_VALUE
0.000,102.122,102.729,1406.09,42.5318,309.056,850.99,381.0,99.846,1752.2,72.9628,72.9628,72.9197,72.9197,0,0,562.856,562.856,563.16,563.154,1136.94,1140.89,78.3526,78.3415,54.1322,54.1079,0.0,0.0,119.662,117.026,113.154,113.212,52.7696,67.0079,129.85,129.85,156.837,0.0169891,309.099,326.449,292.754,309.002,292.754,324.921,292.764,292.764,333.665,293.058,293.058,344.705,344.782,40.3762,309.105,3.75841,3.75841,6.09564,3.34323,1.2618,0.143086,0.0,0.0,0.0,0.0,1.35899e-05,53.6741,54.402,54.0328,1406.09,53.7876,27.6997,0.0126693,44.814,0.263007,1406.09,0.00164564
1.000,101.563,102.765,1405.81,34.2845,309.056,850.693,381.0,99.8087,1399.08,73.2184,73.218,73.1161,73.1161,0,0,589.48,589.606,557.51,557.479,1129.75,1142.26,78.6636,78.3125,54.7516,54.0442,0.0,0.0,119.662,116.106,116.657,116.657,49.647,67.0078,116.89,116.89,155.032,0.0,308.193,323.177,293.099,308.199,293.066,323.212,292.881,292.881,321.061,293.042,293.042,343.885,344.782,40.3762,308.199,-1.55209,-1.55209,7.33828,3.19951,1.2618,0.138724,0.0,0.0,0.0,0.0,6.45034e-06,53.6741,54.402,54.0328,1405.81,53.7876,42.4262,0.165441,54.5761,0.263077,1405.81,0.00164564
2.000,99.0821,99.8891,243.327,12.0401,300.849,850.659,248.221,17.1984,504.372,76.1923,76.1919,76.1376,76.1373,0,0,274.446,276.287,172.474,171.63,1117.19,1134.18,78.5602,77.9641,54.5458,53.279,0.0,0.0,119.662,119.662,119.554,119.562,40.9004,67.0076,108.085,108.085,150.139,0.0,307.34,320.662,293.813,307.268,293.76,320.566,293.264,293.264,318.333,292.99,292.99,341.469,344.782,40.3762,307.34,-5.27008,-5.27008,8.52095,3.0401,1.2618,0.131995,0.0,0.0,0.0,1.7813e-05,0.0,53.6741,54.402,54.0328,243.327,53.7876,100.0,0.319412,61.9614,0.263455,243.327,0.313076
3.000,85.3463,85.942,80.3035,8.43529,300.473,850.695,92.0115,6.352,343.178,78.6185,78.619,78.5902,78.5906,0,0,151.967,152.829,81.9109,81.5164,1037.2,1051.02,75.1402,73.9564,47.078,44.4785,0.0,0.0,119.662,119.662,119.662,119.662,25.1117,67.0075,100.772,100.772,140.688,0.0,306.61,318.229,294.863,306.478,294.77,318.066,293.73,293.73,317.896,292.88,292.88,336.606,344.782,40.3762,306.61,-7.6062,-7.6062,9.02216,2.85354,1.2618,0.132332,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,80.3035,53.7876,100.0,0.658635,79.9831,0.264806,80.3035,26.9112
4.000,74.6693,75.2343,33.2859,7.97158,300.34,851.0,0.0,2.59973,318.646,80.1451,80.1459,80.1235,80.1242,0,0,106.889,107.117,67.4284,67.4654,819.291,838.089,71.8144,70.3588,39.7748,36.5784,0.0,0.0,119.662,119.662,119.662,119.662,4.82499,67.0073,95.3468,95.3468,127.317,0.0,306.532,316.253,296.926,306.328,296.741,316.039,294.709,294.709,317.055,292.711,292.711,329.103,344.782,40.3762,306.532,-9.05653,-9.05653,11.7982,2.3093,1.2618,0.138619,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,33.2859,53.7876,100.0,0.902121,92.5285,0.26777,33.2859,117.684
5.000,66.3753,66.943,9.2232,7.70576,300.245,852.003,0.0,0.775178,307.824,81.0602,81.0613,81.0412,81.0421,0,0,77.4586,77.3486,50.9465,51.2099,678.189,686.986,68.6283,67.0882,32.7784,29.3962,0.0,0.0,112.543,85.5497,103.55,103.547,0.0,67.0072,92.3563,92.3563,119.522,0.0,306.266,315.002,297.373,306.149,297.497,314.597,296.916,296.916,315.403,292.462,292.461,317.639,344.782,40.3762,306.266,-9.79652,-9.79652,12.618,1.98919,1.2618,0.138922,0.0,0.0,0.0,1.3448e-06,0.0,53.6741,54.402,54.0328,9.2232,53.7876,100.0,1.07711,99.9312,0.271694,9.2232,127.621
6.000,55.429,55.5362,-8.21168,7.56518,300.163,863.312,0.0,0.0,301.776,81.5376,81.539,81.5441,81.5448,0,0,53.6117,53.2594,42.124,42.5396,534.995,541.368,65.6806,64.2548,26.3052,23.1742,0.0,0.0,114.832,88.1213,79.6935,79.6948,0.0,67.007,90.7482,90.7482,119.522,0.0,305.252,313.982,296.163,305.251,296.395,313.848,296.514,296.514,302.911,292.174,292.174,303.597,344.782,40.3762,305.373,-9.88176,-9.88176,12.618,1.83829,1.2618,0.136975,0.0,0.0,0.0,0.0,6.48551e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.17757,103.701,0.275334,0.0,127.569
7.000,40.7118,40.8407,-17.2767,7.47255,300.091,988.036,0.0,0.0,297.847,81.6233,81.6247,81.6252,81.6261,0,0,26.341,25.5761,32.7234,33.0986,379.75,381.99,62.7222,61.8817,19.8089,17.9632,0.0,0.0,86.3515,72.4256,91.3328,91.3348,0.0,67.0069,89.1139,89.1139,119.522,0.0,303.673,312.226,294.894,303.92,295.005,312.587,295.23,295.23,298.875,292.082,292.09,298.881,344.782,40.3762,304.066,-9.63613,-9.63613,12.618,1.97509,1.2618,0.134396,0.0,0.0,1.68378,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.25846,105.842,0.278201,0.0,128.824
8.000,13.1611,13.5244,-18.8526,7.40945,300.038,1178.31,0.0,0.0,295.46,81.3972,81.3976,81.3933,81.3937,0,0,1.60612,1.57493,0.477702,0.581848,212.925,215.483,59.9011,59.4615,13.6138,12.6486,0.0,0.0,71.261,51.2101,84.2816,84.3271,0.0,67.0068,87.6234,87.6234,119.522,0.0,302.601,311.12,293.854,302.682,294.049,311.088,293.825,293.825,297.196,292.049,292.069,297.095,344.782,40.3763,302.682,-9.24218,-9.24218,12.618,2.11157,1.2618,0.134085,0.0,0.0276016,3.06597,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.32253,107.349,0.280821,0.0,128.215
9.000,0.0,0.0,-19.2308,7.21385,299.988,1169.44,0.0,0.0,288.499,81.03,81.0285,81.0368,81.0358,0,0,0.0,0.0,0.0,0.0,0.0,0.0,56.8778,56.6657,6.9749,6.50909,0.0,0.0,83.6112,59.8786,75.6529,75.6373,0.0,67.0477,88.8692,88.8692,119.522,0.0,301.099,309.63,292.682,301.169,292.864,309.688,292.678,292.678,294.511,292.206,292.238,294.191,344.782,40.377,301.169,-6.91152,-6.91152,12.618,2.52786,1.2618,0.137867,0.0,10.0298,24.0144,9.99982e-06,8.36542e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.37196,108.39,0.28288,0.0,129.705
