Variable,hmi_MFWFT511_VALUE,hmi_MFWFT521_VALUE,hmi_TCSWT1_VALUE,hmi_RRCNP10_VALUE,hmi_RCSTT499B_VALUE,hmi_RCSCT5_VALUE,hmi_RRCYT100_VALUE,hmi_MGPWT11_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPV455B_VALUE,hmi_RCSPV455C_VALUE,hmi_MRSFT512_VALUE,hmi_MRSFT522_VALUE,hmi_MRSFT532_VALUE,hmi_MRSFT542_VALUE,hmi_MRSFT510_VALUE,hmi_MRSFT520_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_AFWFT2_VALUE,hmi_AFWFT9_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSFT434_VALUE,hmi_RCSFT444_VALUE,hmi_RCSLT459_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT403_VALUE,hmi_RCSPT405_VALUE,hmi_RCSPT455A_VALUE,hmi_RCSPT469A_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT468A_VALUE,hmi_RCSTC502_VALUE,hmi_RCSTT1734_VALUE,hmi_RCSTT1735_VALUE,hmi_CVCFT121_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT161B_VALUE,hmi_RHRFT988_VALUE,hmi_HPCFT918_VALUE,hmi_HPCFT922_VALUE,hmi_CSSFT5_VALUE,hmi_CSSFT11_VALUE,hmi_ASILT950_VALUE,hmi_ASILT952_VALUE,hmi_ASILT954_VALUE,hmi_MGPWT1_VALUE,hmi_ASILT956_VALUE,hmi_CTMCT27_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,hmi_CPSRT591_VALUE,hmi_MGPWT01_VALUE,hmi_HPCPT947_VALUE
0.000,101.977,102.889,1408.68,42.9162,309.056,851.015,381.0,100.015,1822.13,73.0022,73.0022,72.9306,72.9305,0,0,564.931,564.931,563.041,563.041,1136.71,1141.19,78.3611,78.3393,54.1495,54.1031,0.0,0.0,119.662,114.062,113.221,113.455,52.6942,67.0079,128.955,128.955,156.804,0.0212429,308.926,326.243,292.746,308.986,292.746,324.905,292.753,292.753,333.631,293.058,293.058,344.685,344.782,40.3762,308.997,3.39881,3.39881,5.49587,4.41939,1.2618,0.139808,0.0,0.0,0.0,0.0,1.35899e-05,53.6741,54.402,54.0328,1408.68,53.7876,27.6961,0.00841557,44.1338,0.263007,1408.68,0.00164564
1.000,100.844,102.658,1410.64,33.5773,307.272,850.708,357.568,100.139,1358.72,73.8945,73.8946,73.7353,73.7349,0,0,602.508,602.524,550.45,550.406,1126.7,1145.52,78.8223,78.2861,55.0677,53.9862,0.0,0.0,119.662,109.992,116.815,116.779,49.6935,67.0078,115.322,115.322,155.007,0.0,308.098,322.643,293.435,308.166,293.294,322.81,292.869,292.869,319.943,293.042,293.042,343.897,344.782,40.3762,308.166,-2.2387,-2.2387,6.03028,4.03129,1.2618,0.134214,0.0,0.0,0.0,0.0,6.45034e-06,53.6741,54.402,54.0328,1410.64,53.7876,42.3611,0.216259,57.5796,0.263084,1410.64,0.00164564
2.000,99.4287,100.558,206.976,10.7065,300.665,850.655,201.359,16.1509,445.992,76.8438,76.8438,76.761,76.7605,0,0,205.148,205.245,87.6145,87.0169,1107.2,1125.92,77.8206,76.6448,52.964,50.382,0.0,0.0,119.662,113.404,119.282,119.258,41.0953,67.0076,106.359,106.359,150.068,0.0,307.348,319.95,294.646,307.281,294.462,319.966,293.254,293.254,316.929,292.992,292.992,341.525,344.782,40.3762,307.348,-5.84774,-5.84774,6.48183,3.71072,1.2618,0.129217,0.0,0.0,0.0,1.7813e-05,0.0,53.6741,54.402,54.0328,206.976,53.7876,100.0,0.498417,72.7952,0.264229,206.976,0.307036
3.000,86.286,86.9895,65.1139,8.29626,300.466,850.726,45.1485,4.97578,332.157,78.2905,78.2905,78.2554,78.2551,0,0,234.199,234.269,163.527,163.031,1042.55,1061.05,75.0589,73.0685,46.8995,42.5287,0.0,0.0,119.662,116.7,119.662,119.662,25.4246,67.0075,99.4324,99.4324,140.815,0.0,306.845,317.577,296.001,306.701,295.822,317.515,293.767,293.767,316.875,292.883,292.883,336.709,344.782,40.3762,306.845,-7.78015,-7.78015,6.55144,3.60029,1.2618,0.128822,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,65.1139,53.7876,100.0,0.720151,84.9449,0.267177,65.1139,24.8755
4.000,76.755,77.1983,25.85,7.98009,300.346,851.074,0.0,2.02319,319.025,78.6434,78.6433,78.6303,78.6302,0,0,216.665,216.698,201.201,200.971,844.32,856.899,72.5052,70.5314,41.2918,36.9574,0.0,0.0,119.662,108.984,119.454,119.415,5.08668,67.0073,93.9074,93.9074,127.489,0.0,306.525,315.541,297.514,306.748,297.895,315.453,294.851,294.851,316.265,292.714,292.714,329.211,344.782,40.3762,306.748,-9.29325,-9.29325,7.95342,3.47447,1.2618,0.126692,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,25.85,53.7876,100.0,0.908437,94.3199,0.271291,25.85,122.417
5.000,71.2733,70.8002,4.20487,7.75854,300.253,852.202,0.0,0.429701,309.819,78.4869,78.4869,78.5312,78.5313,0,0,199.144,199.204,200.401,200.412,714.798,719.819,70.1854,68.9053,36.1976,33.3865,0.0,0.0,112.469,66.9475,103.149,103.099,0.0,67.0072,91.0513,91.0513,119.522,0.0,305.7,314.354,296.56,305.625,296.771,314.125,296.515,296.515,315.152,292.46,292.46,317.549,344.782,40.3762,305.7,-10.0432,-10.0432,9.34796,3.3345,1.2618,0.126479,0.0,0.0,0.0,1.3448e-06,0.0,53.6741,54.402,54.0328,4.20487,53.7876,100.0,1.05833,100.08,0.275837,4.20487,136.339
6.000,63.1371,62.0959,-14.5055,7.61638,300.175,860.39,0.0,0.0,303.661,78.1094,78.1094,78.1739,78.174,0,0,155.086,155.142,201.31,201.37,596.188,590.747,67.5326,67.8842,30.3721,31.1442,0.0,0.0,105.233,68.4057,82.4438,82.3863,0.0,67.007,89.9913,89.9913,119.522,0.0,304.902,313.586,295.366,304.767,295.627,313.412,296.096,296.096,302.311,292.165,292.165,303.118,344.782,40.3762,305.063,-10.0144,-10.0144,10.5048,3.08859,1.2618,0.124762,0.0,0.0,0.0,0.0,6.48551e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.1666,103.577,0.279964,0.0,137.613
7.000,54.0287,53.1251,-18.1771,7.44418,300.107,920.802,0.0,0.0,297.039,77.5255,77.5255,77.565,77.5651,0,0,114.823,114.866,203.121,203.249,470.699,457.419,64.7339,67.2927,24.2264,29.8453,0.0,0.0,119.662,119.662,97.4741,97.4549,0.0,67.0069,87.1912,87.1912,119.522,0.0,301.742,311.987,275.915,301.206,283.845,312.165,294.772,294.773,298.153,292.079,292.084,298.625,344.782,40.3763,303.818,-10.6023,-10.6023,11.4319,1.75484,1.2618,0.121992,0.0,0.0,1.73897,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.24854,105.718,0.283514,0.0,139.79
8.000,41.9068,41.2086,-19.0573,7.36065,300.055,869.893,0.0,0.0,293.797,76.7933,76.7933,76.8055,76.8056,0,0,103.468,103.496,169.893,169.994,337.908,326.565,60.6308,65.231,18.8774,27.7794,0.0,0.0,75.7053,0.0,95.7513,95.7833,0.0,67.0068,83.2108,83.2108,119.522,0.0,301.557,310.335,292.978,302.096,293.575,310.625,293.221,293.222,295.481,292.022,292.035,295.496,344.782,40.3763,302.101,-12.0702,-12.0702,12.2426,1.60094,1.2618,0.129641,0.0,0.0275898,3.06591,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.31745,107.369,0.286675,0.0,139.199
9.000,17.2586,16.0128,-19.3781,7.27336,300.003,976.971,0.0,0.0,290.997,76.1145,76.1141,76.1294,76.1295,0,0,106.349,106.474,116.258,116.381,192.422,188.989,57.0877,61.5195,15.3839,24.5362,0.0,0.0,41.6909,26.4755,84.3962,84.4644,0.0,67.0379,88.353,88.353,119.522,0.0,301.754,310.18,293.189,301.092,293.224,309.018,291.864,291.864,294.501,292.007,292.025,294.405,344.782,40.3768,301.754,-7.77374,-7.77374,12.618,1.44694,1.2618,0.123503,0.0,9.68339,22.4892,9.99982e-06,8.36542e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.37636,108.556,0.28917,0.0,140.499
