Variable,hmi_MFWFT511_VALUE,hmi_MFWFT521_VALUE,hmi_TCSWT1_VALUE,hmi_RRCNP10_VALUE,hmi_RCSTT499B_VALUE,hmi_RCSCT5_VALUE,hmi_RRCYT100_VALUE,hmi_MGPWT11_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPV455B_VALUE,hmi_RCSPV455C_VALUE,hmi_MRSFT512_VALUE,hmi_MRSFT522_VALUE,hmi_MRSFT532_VALUE,hmi_MRSFT542_VALUE,hmi_MRSFT510_VALUE,hmi_MRSFT520_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT501_VALUE_BAR,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_AFWFT2_VALUE,hmi_AFWFT9_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSFT434_VALUE,hmi_RCSFT444_VALUE,hmi_RCSLT459_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT403_VALUE,hmi_RCSPT405_VALUE,hmi_RCSPT455A_VALUE,hmi_RCSPT469A_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT468A_VALUE,hmi_RCSTC502_VALUE,hmi_RCSTT1734_VALUE,hmi_RCSTT1735_VALUE,hmi_CVCFT121_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT161B_VALUE,hmi_RHRFT988_VALUE,hmi_HPCFT918_VALUE,hmi_HPCFT922_VALUE,hmi_CSSFT5_VALUE,hmi_CSSFT11_VALUE,hmi_ASILT950_VALUE,hmi_ASILT952_VALUE,hmi_ASILT954_VALUE,hmi_MGPWT1_VALUE,hmi_ASILT956_VALUE,hmi_CTMCT27_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,hmi_CPSRT591_VALUE,hmi_MGPWT01_VALUE,hmi_HPCPT947_VALUE
0.000,101.962,102.902,1408.65,43.9347,309.056,851.016,381.0,100.015,1848.15,73.0058,73.0058,72.9316,72.9315,0,0,565.065,565.065,562.993,562.993,1136.68,1141.21,78.3618,78.3618,78.3392,54.1509,54.1028,0.0,0.0,119.662,113.477,113.076,113.305,52.6932,67.0079,129.324,129.324,156.803,0.021344,308.924,326.245,292.746,308.985,292.746,324.906,292.753,292.753,333.669,293.058,293.058,344.685,344.782,40.3762,308.996,3.6304,3.6304,5.49579,4.41981,1.2618,0.139792,0.0,0.0,0.0,0.0,1.35899e-05,53.6741,54.402,54.0328,1408.65,53.7876,27.696,0.00831439,44.1307,0.263007,1408.65,0.00164564
1.000,100.808,102.679,1410.65,34.7376,307.272,850.706,357.568,100.14,1405.87,73.903,73.903,73.7388,73.7384,0,0,603.399,603.415,549.833,549.789,1126.42,1145.7,78.8324,78.8324,78.2817,55.0877,53.9766,0.0,0.0,119.662,109.678,116.583,116.547,49.6926,67.0078,115.354,115.354,155.009,0.0,308.117,322.624,293.459,308.173,293.308,322.81,292.866,292.865,319.917,293.042,293.042,343.897,344.782,40.3762,308.173,-2.21693,-2.21693,6.02922,4.03183,1.2618,0.134272,0.0,0.0,0.0,0.0,6.45034e-06,53.6741,54.402,54.0328,1410.65,53.7876,42.2553,0.21437,57.5043,0.263083,1410.65,0.00164564
2.000,99.4055,100.567,206.977,22.7851,300.665,850.654,201.359,16.151,986.853,76.8571,76.857,76.7713,76.7708,0,0,207.319,207.417,85.9551,85.3573,1106.84,1126.08,77.8454,77.8454,76.6307,53.0184,50.3511,0.0,0.0,119.662,112.979,118.896,118.871,41.0959,67.0076,106.48,106.48,150.074,0.0,307.366,319.956,294.689,307.306,294.499,319.987,293.245,293.245,316.947,292.992,292.992,341.525,344.782,40.3762,307.366,-5.77949,-5.77949,6.47932,3.71262,1.2618,0.129309,0.0,0.0,0.0,1.7813e-05,0.0,53.6741,54.402,54.0328,206.977,53.7876,100.0,0.49337,72.6129,0.264203,206.977,0.307237
3.000,84.8386,85.549,65.1681,8.31833,300.466,850.726,45.1485,4.98152,333.074,78.315,78.3149,78.28,78.2797,0,0,236.977,237.047,163.167,162.669,1040.2,1064.7,75.1171,75.1171,73.0548,47.0274,42.4986,0.0,0.0,119.662,115.606,119.282,119.249,25.4395,67.0075,99.6871,99.6871,140.833,0.0,306.89,317.668,296.059,306.749,295.873,317.549,293.75,293.75,316.955,292.883,292.883,336.714,344.782,40.3762,306.89,-7.71352,-7.71352,6.52695,3.60402,1.2618,0.12914,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,65.1681,53.7876,100.0,0.711043,84.6116,0.267083,65.1681,24.4621
4.000,75.2617,75.6193,25.8593,8.00004,300.346,851.083,0.0,2.02281,319.816,78.6603,78.6603,78.6536,78.6536,0,0,216.84,216.874,203.393,203.161,846.534,863.624,72.5632,72.5632,70.5381,41.4191,36.9722,0.0,0.0,119.662,98.0875,118.854,118.816,5.12919,67.0073,94.1642,94.1642,127.53,0.0,306.582,315.46,297.398,306.813,297.748,315.517,294.805,294.805,316.346,292.714,292.714,329.229,344.782,40.3762,306.813,-9.09824,-9.09824,7.92899,3.47883,1.2618,0.12671,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,25.8593,53.7876,100.0,0.897587,93.9791,0.271105,25.8593,121.487
5.000,69.4624,69.0414,4.27884,7.76784,300.253,852.135,0.0,0.435189,309.977,78.5421,78.5421,78.5817,78.5817,0,0,199.441,199.5,201.289,201.3,715.751,725.574,70.1886,70.1886,68.9494,36.2047,33.4834,0.0,0.0,113.569,65.0489,103.104,103.052,0.0,67.0072,90.9251,90.9251,119.522,0.0,305.596,314.286,296.498,305.592,296.728,314.127,296.483,296.484,315.144,292.461,292.461,317.573,344.782,40.3762,305.596,-10.0634,-10.0634,9.32647,3.33606,1.2618,0.126502,0.0,0.0,0.0,1.3448e-06,0.0,53.6741,54.402,54.0328,4.27884,53.7876,100.0,1.04701,99.7688,0.27556,4.27884,136.125
6.000,60.7809,59.9804,-14.5752,7.60817,300.175,856.895,0.0,0.0,303.286,78.3071,78.3071,78.3563,78.3563,0,0,166.708,166.764,202.175,202.233,593.904,597.393,67.5558,67.5558,67.8974,30.4231,31.1732,0.0,0.0,104.486,74.6966,85.4556,85.3949,0.0,67.007,90.9936,90.9936,119.522,0.0,305.225,315.063,295.306,304.647,295.628,313.464,296.178,296.178,303.242,292.176,292.176,303.675,344.782,40.3762,305.602,-10.7923,-10.7923,10.4802,3.10418,1.2618,0.124779,0.0,0.0,0.0,0.0,6.48551e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.15605,103.302,0.279641,0.0,137.77
7.000,51.5567,50.4973,-17.9611,7.53896,300.107,853.857,0.0,0.0,300.75,77.7946,77.7946,77.84,77.8401,0,0,136.962,137.011,202.688,202.777,466.814,458.692,65.2362,65.2362,67.4429,25.3293,30.1751,0.0,0.0,115.268,0.0,98.2197,98.1965,0.0,67.0069,87.5928,87.5928,119.522,0.0,302.923,313.401,292.502,303.036,293.52,312.605,295.268,295.268,299.938,292.104,292.105,299.982,344.782,40.3763,304.506,-11.5449,-11.5449,11.429,1.72879,1.2618,0.121102,0.0,0.0,1.73897,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.23133,105.327,0.283101,0.0,139.314
8.000,39.1017,37.8771,-19.1174,7.43448,300.071,854.811,0.0,0.0,296.498,77.1788,77.1788,77.2107,77.2108,0,0,119.276,119.313,161.107,161.204,331.486,325.145,61.9088,61.9088,66.0748,20.005,28.2093,0.0,0.0,119.662,0.0,100.887,100.858,0.0,67.0068,84.5569,84.5569,119.522,0.0,302.017,311.807,291.952,302.13,292.972,311.019,293.598,293.598,297.226,292.052,292.054,297.242,344.782,40.3763,302.833,-12.2137,-12.2137,12.2247,1.58639,1.2618,0.128484,0.0,0.0275894,3.06586,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.31227,107.14,0.286305,0.0,139.533
9.000,14.3787,13.6409,-18.8445,7.31029,300.02,863.859,0.0,0.0,291.804,76.4075,76.4069,76.4027,76.4028,0,0,104.355,104.487,141.134,141.261,184.896,174.243,57.7498,57.7498,62.6119,15.4095,25.2502,0.0,0.0,119.662,0.0,90.4435,90.5513,0.0,67.0401,80.6394,80.6394,119.522,0.0,300.284,310.802,289.654,300.401,290.86,309.733,292.359,292.358,294.108,291.998,291.999,294.212,344.782,40.3769,301.657,-14.2926,-14.2926,12.618,1.44205,1.2618,0.122931,0.0,14.851,24.2447,9.99982e-06,8.36542e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.39973,109.054,0.289809,0.0,139.653
10.000,0.0,0.0,-19.4084,7.17546,299.983,967.304,0.0,0.0,285.96,75.789,75.7857,75.82,75.8194,0,0,111.335,112.7,112.462,112.561,13.979,7.62908,55.3729,55.3729,59.9701,13.5247,22.8517,0.0,0.0,79.7331,87.5185,86.8691,86.9076,0.0,67.1154,83.1057,83.1057,119.522,0.0,303.365,310.689,293.559,301.611,293.652,309.205,292.221,292.22,294.961,292.023,292.02,295.014,344.782,40.3783,303.365,-12.2156,-12.2156,12.618,1.305,1.2618,0.128223,0.0,27.891,27.5911,5.46724e-06,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.4962,111.087,0.293459,0.0,140.251
11.000,1.9943,0.0,-19.1636,7.10049,299.946,901.792,0.0,0.0,283.257,74.6001,74.5968,74.9023,74.9002,0,0,82.7232,87.863,128.067,127.369,1.25779,0.0,52.9856,52.9856,58.4966,11.4437,21.6581,0.0,0.0,39.6235,95.1589,78.1573,78.2126,0.0,67.1506,77.0691,77.0691,119.522,0.0,298.521,309.724,292.401,300.424,292.894,308.457,291.53,291.529,292.181,293.633,293.633,292.302,344.782,40.3789,300.424,-16.2023,-16.2023,12.618,1.17827,1.2618,0.147282,0.0,29.5504,29.17,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.53944,112.038,0.296265,0.0,141.16
12.000,1.08261,0.0,-18.9266,7.01122,299.912,915.825,0.0,0.0,279.588,73.5023,73.5001,74.0467,74.0411,0,0,60.7897,67.1422,106.425,103.056,8.60896,0.0,48.1976,48.1976,55.7501,7.90277,20.029,0.0,0.0,38.5976,16.0991,66.0899,66.1188,0.0,67.168,77.1655,77.1655,119.522,0.0,300.414,312.994,291.34,299.647,291.437,306.964,290.418,290.418,290.027,290.885,290.885,290.003,344.782,40.3792,300.414,-19.3892,-19.3892,12.618,1.05088,1.2618,0.148694,0.0,30.8213,30.4742,1.87062e-05,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.57813,112.648,0.298165,0.0,142.304
13.000,0.367868,0.206873,-18.6118,6.91917,299.879,917.125,0.0,0.0,275.903,73.0631,73.0611,73.4119,73.4047,0,0,31.5342,33.042,59.8099,51.013,4.21965,1.71973,43.3359,43.3359,53.6795,4.2809,17.965,0.0,0.0,50.1059,22.5758,55.0911,55.1024,0.0,67.1776,74.4905,74.4905,119.522,0.0,297.824,310.118,289.621,297.673,290.186,306.075,289.492,289.491,288.866,289.496,289.494,288.671,344.782,40.3795,298.339,-18.8677,-18.8677,12.2684,0.922925,1.2618,0.148271,0.47491,30.3323,29.9876,1.4809e-05,1.09014e-05,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.61045,113.159,0.299891,0.0,142.509
14.000,0.168323,0.134499,-18.5802,6.84403,299.851,948.283,0.0,0.0,272.846,72.6569,72.6586,72.936,72.9287,0,0,11.3164,13.1901,27.5454,18.4979,1.45091,1.09844,42.8329,42.8329,52.2907,4.62398,15.3319,0.0,0.0,68.3711,38.0026,51.8233,51.8303,0.0,67.1847,72.7224,72.7224,119.522,0.0,296.272,304.799,287.522,297.072,287.871,306.067,289.256,289.256,286.422,288.421,288.422,286.561,344.782,40.3797,297.756,-16.4322,-16.4322,11.8425,0.794742,1.2618,0.147275,0.0,31.9967,31.6752,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.65396,113.846,0.301795,0.0,141.637
