hmi_RCSCT5_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT405_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT1734_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,time
851.003,1694.06,72.9465,72.9465,72.914,72.914,78.3518,78.3427,119.662,115.777,67.0079,130.22,326.363,292.766,292.766,324.954,292.775,292.775,344.707,4.07678,0.0111916,44.7179,1
850.692,1340.66,73.1802,73.1797,73.0972,73.0971,78.6066,78.3219,119.662,117.755,67.0078,117.054,323.209,293.006,292.99,323.232,292.883,292.883,343.89,-1.45877,0.200882,57.1033,2
850.645,1047.57,76.6929,76.6943,76.6565,76.6576,77.8039,77.2693,119.662,119.662,67.0076,109.099,320.985,293.606,293.586,320.781,293.278,293.278,341.487,-4.85199,0.432343,70.0869,3
850.684,342.238,79.1932,79.1938,79.1635,79.1642,74.3406,73.5801,119.662,119.662,67.0075,102.743,318.873,294.418,294.394,318.579,293.759,293.759,336.685,-7.05685,0.623427,81.0483,4
850.975,324.391,80.8619,80.8627,80.8319,80.833,71.2756,70.2025,119.662,119.662,67.0073,97.7152,317.044,295.958,295.906,316.721,294.755,294.755,329.329,-8.32465,0.795851,90.4457,5
851.85,317.4,81.8929,81.894,81.8735,81.8747,68.4826,67.0782,119.662,104.444,67.0072,94.349,315.574,298.005,298.033,315.228,297.602,297.602,318.425,-9.03341,0.944424,96.6982,6
858.982,306.604,82.4297,82.4311,82.4278,82.4308,65.8153,64.4558,109.457,81.9436,67.007,92.3157,314.777,297.173,297.345,314.38,297.089,297.089,305.084,-9.59917,1.04038,100.138,7
937.312,297.192,82.4139,82.4155,82.4171,82.4199,63.2195,62.3332,97.9299,86.2933,67.0069,90.5029,312.954,295.543,295.642,313.375,296.134,296.134,300.283,-9.44567,1.12408,102.414,8
1153.14,294.357,82.0732,82.0713,82.0659,82.0705,60.731,60.3546,74.0821,63.6867,67.0068,88.5561,311.603,294.465,294.55,311.748,294.482,294.482,297.894,-9.19556,1.19456,104.22,9
1205.32,289.136,81.825,81.8236,81.819,81.8242,58.3326,58.1997,87.4471,72.2249,67.0488,90.2642,311.005,293.867,293.977,310.986,293.81,293.81,296.75,-7.2427,1.2545,105.638,10
1047.86,283.963,81.647,81.6454,81.6386,81.6432,56.4158,56.4516,112.107,97.3617,67.126,90.458,310.804,293.647,293.728,310.942,293.863,293.863,296.465,-7.04356,1.32984,107.335,11
976.585,281.09,81.1756,81.1749,81.181,81.1806,54.5394,54.6476,72.1737,63.8618,67.1571,87.2511,309.938,292.77,292.777,309.53,292.431,292.43,293.553,-8.33123,1.41612,109.224,12
957.246,276.782,80.7925,80.7948,80.7938,80.7955,47.4034,47.9671,49.1748,39.3275,67.1716,80.1333,308.044,290.914,290.983,307.584,290.773,290.772,286.573,-11.9478,1.46876,110.374,13
958.506,274.777,80.5672,80.5698,80.5598,80.5624,45.118,45.6483,60.0,0.0,67.1795,84.7867,307.193,291.077,291.459,306.999,290.612,290.612,289.766,-7.42469,1.50878,111.069,14
1024.25,271.786,80.309,80.3123,80.301,80.3043,44.4577,44.9632,49.1833,11.9083,67.1865,76.7191,308.048,291.444,291.726,307.19,291.119,291.12,291.148,-14.829,1.55196,111.81,15
1071.51,269.024,79.9851,79.9883,79.9683,79.9724,43.6086,44.0916,57.654,17.9567,67.194,75.6324,307.081,290.715,291.008,306.258,290.336,290.336,289.973,-14.8131,1.59332,112.527,16
1089.13,266.149,79.6609,79.6638,79.6358,79.6406,42.8764,43.3516,66.6719,21.4919,67.2012,76.0344,307.401,290.485,290.852,306.202,290.315,290.316,289.392,-14.7784,1.64066,113.344,17
1037.07,263.394,79.292,79.2881,79.2625,79.2603,42.4617,42.9442,59.7987,51.8145,67.209,75.3367,306.565,290.354,290.455,306.541,290.27,290.27,289.239,-14.5581,1.69412,114.281,18
995.794,260.632,78.8681,78.8672,78.8411,78.8426,41.9862,42.5027,45.7345,31.7313,67.2167,74.5214,305.403,289.927,290.072,305.483,289.963,289.964,288.331,-14.205,1.74223,115.076,19
991.023,258.232,78.3361,78.3336,78.3534,78.3504,41.4242,42.011,39.8923,4.45648,67.2243,71.7943,304.689,288.888,289.108,304.882,289.064,289.064,286.293,-16.1157,1.78132,115.676,20
1008.98,256.35,77.7347,77.7337,77.8184,77.8136,40.8604,41.6365,42.583,5.14036,67.232,70.3696,303.996,288.186,288.518,303.785,288.441,288.441,285.018,-16.5888,1.8142,116.142,21
1041.89,254.201,77.1448,77.1447,77.2867,77.2805,40.5296,41.4587,43.7944,9.34382,67.2399,68.9065,303.352,287.521,287.827,304.767,287.924,287.924,283.858,-18.7916,1.84654,116.592,22
1073.25,252.144,76.5003,76.501,76.7008,76.6934,40.348,41.2857,43.4232,9.60515,67.2473,67.5387,302.519,286.738,287.052,304.422,287.198,287.198,282.539,-19.8177,1.87729,117.01,23
1102.2,250.147,75.8064,75.8083,76.0953,76.0863,40.2396,41.1977,43.0765,9.76265,67.2553,66.2969,301.847,286.009,286.335,303.603,286.503,286.504,281.334,-20.2721,1.90618,117.39,24
1125.41,248.215,75.1403,75.1432,75.5336,75.523,40.2311,41.2672,43.5748,9.95243,67.2628,65.1423,301.195,285.308,285.65,302.826,285.823,285.824,280.195,-20.7032,1.93309,117.707,25
1139.09,246.355,74.4716,74.4755,74.9725,74.9606,40.344,41.4328,43.0427,10.0771,67.2698,64.0545,300.518,284.634,284.982,302.189,285.17,285.171,279.102,-21.2276,1.95773,117.904,26
1145.68,244.569,73.8119,73.8167,74.4163,74.4032,40.5484,41.6202,41.0905,9.1761,67.2779,62.959,299.761,283.935,284.288,301.739,284.51,284.511,277.996,-21.9698,1.975,117.814,27
1148.23,242.858,73.1551,73.1608,73.8635,73.8495,40.7453,41.7754,38.9797,7.20531,67.2863,61.8017,298.998,283.232,283.598,301.385,283.843,283.845,276.827,-22.8991,1.98842,117.721,28
1151.09,241.215,72.4938,72.5005,73.3141,73.2992,40.9086,41.9086,37.2441,5.37822,67.2941,60.5873,298.194,282.462,282.85,300.97,283.105,283.107,275.583,-23.8592,2.0007,117.634,29
1156.3,239.632,71.8211,71.8286,72.7664,72.7507,41.0294,42.0218,36.0056,4.12066,67.3027,59.3159,297.369,281.653,282.065,300.452,282.323,282.325,274.288,-24.8127,2.01228,117.551,30
1166.48,238.103,71.1333,71.1418,72.2208,72.2048,41.1142,42.1218,35.1679,3.5153,67.3112,58.1082,296.583,280.822,281.256,299.878,281.513,281.516,272.972,-25.6662,2.02334,117.473,31
1182.92,236.623,70.4253,70.4263,71.689,71.6785,41.1811,42.2239,34.547,3.43231,67.3191,56.8893,295.934,279.985,280.432,299.297,280.692,280.695,271.654,-26.5573,2.03403,117.402,32
1203.04,235.188,69.6686,69.6687,71.2121,71.2049,41.1835,42.3978,33.8738,3.46453,67.3277,55.6849,295.293,279.141,279.597,298.733,279.859,279.863,270.327,-27.4784,2.04442,117.338,33
1225.26,233.795,68.9194,68.9195,70.7507,70.7435,41.2062,42.6174,32.5455,3.46792,67.3353,54.4743,294.61,278.278,278.738,298.186,279.005,279.01,268.967,-28.4552,2.05448,117.278,34
1246.37,232.439,68.1287,68.1289,70.2565,70.2493,41.2974,42.7872,30.4928,3.15628,67.3437,53.2084,293.872,277.367,277.834,297.645,278.102,278.108,267.523,-29.5424,2.06403,117.22,35
1264.18,231.116,67.3174,67.3175,69.7446,69.7374,41.3008,42.8696,28.24,2.47927,67.3529,51.8489,293.119,276.381,276.871,297.081,277.122,277.13,265.947,-30.7661,2.07288,117.16,36
1291.66,229.828,66.5041,66.5042,69.229,69.2218,41.3782,42.9606,26.0276,1.75354,67.3621,50.3836,292.349,275.306,275.842,296.469,276.052,276.062,264.23,-32.1274,2.08102,117.096,37
1325.2,228.576,65.6966,65.6967,68.7128,68.7056,41.5063,43.0749,23.871,1.15946,67.3709,48.8074,291.517,274.131,274.735,295.835,274.883,274.895,262.315,-33.6728,2.08848,117.026,38
