hmi_RCSCT5_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT405_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT1734_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,time
851.003,1736.16,72.974,72.974,72.9218,72.9218,78.3569,78.3403,119.662,114.194,67.0079,129.193,326.205,292.747,292.747,324.911,292.756,292.756,344.688,3.58727,0.00846801,44.1299,1
850.703,1303.73,73.2507,73.2507,73.1347,73.1346,78.7138,78.311,119.662,114.784,67.0078,116.375,323.004,293.198,293.145,323.131,292.886,292.886,343.907,-1.828,0.166916,54.3179,2
850.661,512.606,76.1555,76.1554,76.0868,76.0863,78.6028,77.908,119.662,118.369,67.0076,107.136,320.294,294.035,293.947,320.274,293.275,293.275,341.562,-5.60103,0.412326,67.0621,3
850.706,342.871,77.9978,77.9978,77.9607,77.9603,75.3748,73.9532,119.662,119.662,67.0075,99.6627,317.843,295.196,295.077,317.696,293.752,293.752,336.771,-7.9031,0.700104,82.3163,4
851.024,318.774,78.6552,78.6551,78.6294,78.6293,72.7394,70.9542,119.662,111.622,67.0073,94.4191,315.902,297.438,297.259,315.699,294.748,294.748,329.304,-9.31437,0.92398,93.7092,5
852.149,308.375,78.69,78.69,78.6684,78.6685,70.6208,68.9071,110.968,80.9113,67.0072,91.4254,314.619,296.997,297.138,314.193,296.528,296.529,317.76,-10.0504,1.0882,100.449,6
865.325,302.175,78.4588,78.4587,78.4632,78.4633,68.8514,67.4128,113.552,91.7818,67.007,89.9235,313.458,295.615,295.812,313.361,296.004,296.004,303.002,-9.93452,1.18755,104.0,7
1019.56,295.831,77.827,77.8269,77.8284,77.8285,66.9474,66.2198,86.6532,72.7377,67.0069,87.0286,311.584,294.242,294.344,311.867,294.414,294.415,297.541,-10.4242,1.26644,106.023,8
1189.24,292.118,77.0513,77.0513,77.0691,77.0693,63.8103,63.9754,83.7601,54.3,67.0068,83.959,309.979,292.273,292.6,310.172,292.781,292.781,294.677,-11.037,1.32685,107.435,9
1093.46,292.306,76.1786,76.1776,76.2142,76.2136,58.8019,60.0276,119.662,0.0,67.0383,82.5395,308.226,289.926,286.647,309.087,291.862,291.861,292.441,-11.058,1.38296,108.579,10
971.92,286.304,75.6983,75.6962,75.6834,75.6826,55.6665,57.2251,27.8833,17.1497,67.1154,80.3069,313.378,292.84,292.926,308.364,291.261,291.26,293.361,-17.1393,1.47371,110.452,11
894.288,283.015,75.494,75.4903,75.471,75.469,54.0382,55.4443,41.9125,0.0,67.1504,78.4939,309.392,291.814,292.168,307.984,290.861,290.861,291.748,-14.6573,1.52606,111.593,12
946.968,279.023,75.2105,75.2049,75.1407,75.138,53.1882,54.5226,67.5185,0.0,67.168,76.9433,308.911,291.062,291.583,307.813,290.588,290.588,290.806,-15.4983,1.5696,112.34,13
979.209,275.488,74.97,74.9639,74.8397,74.8394,51.403,52.366,74.8568,3.23773,67.1776,75.3969,307.719,290.142,290.611,306.433,289.684,289.683,288.789,-15.6587,1.6245,113.297,14
1016.48,271.242,74.8034,74.8017,74.6442,74.6532,50.7253,51.5123,69.6397,27.6418,67.1848,76.3793,307.58,290.906,291.338,306.817,290.666,290.666,290.421,-14.6564,1.6927,114.526,15
1031.59,268.851,74.5315,74.5308,74.3952,74.4039,49.5031,50.2472,59.3763,22.1076,67.1917,74.6555,306.424,290.15,290.503,306.469,290.098,290.098,288.883,-15.0707,1.75264,115.565,16
1038.21,266.804,74.1376,74.1376,74.0294,74.0377,47.1889,48.4225,55.6814,16.3018,67.1986,72.2357,305.309,288.975,289.363,304.938,288.852,288.852,286.74,-16.1274,1.80202,116.383,17
1022.13,263.93,73.7252,73.7255,73.6448,73.6523,43.5071,45.3757,54.2757,27.6058,67.2059,68.8644,304.197,287.238,287.565,303.912,287.399,287.399,283.558,-18.2624,1.84368,117.02,18
1012.02,261.429,73.2767,73.28,73.2668,73.2694,41.7572,43.0514,55.3767,28.7368,67.2133,67.2288,302.814,286.217,286.554,303.255,286.584,286.584,281.752,-18.9653,1.8835,117.599,19
1017.65,259.004,72.6943,72.6918,72.7735,72.7711,40.236,41.5862,48.4544,24.0442,67.221,65.3482,301.766,285.353,285.675,303.133,285.841,285.842,280.152,-20.7928,1.9218,118.116,20
1012.22,256.739,72.0272,72.0276,72.2046,72.1993,38.7947,40.2223,44.5803,9.34577,67.2287,63.8988,301.1,284.569,284.977,302.668,285.015,285.015,278.832,-21.875,1.95482,118.539,21
1029.66,254.531,71.3359,71.3385,71.6216,71.6137,37.8004,39.1922,45.654,10.7772,67.2363,62.8121,300.941,283.913,284.336,301.733,284.374,284.374,277.794,-22.1245,1.98274,118.791,22
1048.2,252.414,70.6576,70.6615,71.0471,71.0374,37.3671,38.7219,45.3591,10.7118,67.2443,61.7141,300.064,283.206,283.636,301.38,283.744,283.744,276.655,-22.9923,2.00302,118.718,23
1062.0,250.399,69.9994,70.0041,70.4763,70.4654,37.4275,38.6036,41.7862,8.82184,67.2514,60.5566,299.128,282.464,282.894,301.087,283.054,283.055,275.459,-24.0118,2.01969,118.67,24
1072.3,248.474,69.3243,69.3297,69.9095,69.8974,37.6257,38.685,38.2365,5.05325,67.2593,59.2488,298.262,281.643,282.101,300.728,282.263,282.264,274.123,-25.1671,2.03372,118.615,25
1086.97,246.624,68.6524,68.6586,69.3546,69.3413,37.8218,38.8538,37.435,3.32649,67.2674,57.8881,297.383,280.741,281.248,300.224,281.399,281.401,272.687,-26.2765,2.04528,118.533,26
1107.18,244.842,67.9784,67.9853,68.8149,68.8004,38.074,39.0975,37.1132,2.82762,67.2756,56.5709,296.515,279.831,280.369,299.62,280.519,280.521,271.253,-27.2703,2.05587,118.446,27
