hmi_RCSCT5_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT405_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT1734_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,time
851.012,1997.75,73.0266,73.0265,72.9392,72.9391,78.3659,78.3385,119.662,112.742,67.0079,129.764,326.241,292.749,292.748,324.912,292.755,292.755,344.684,3.91218,0.00740741,44.0994,1
850.695,1605.42,73.9424,73.9425,73.7613,73.7608,78.8902,78.2657,119.662,105.246,67.0078,115.586,322.622,293.578,293.384,322.82,292.857,292.858,343.896,-2.06441,0.204633,57.1351,2
850.65,1062.0,76.9127,76.9126,76.8209,76.8204,77.9308,76.5883,119.662,108.967,67.0076,107.254,320.062,294.837,294.619,320.135,293.213,293.213,341.53,-5.35394,0.468038,71.7135,3
850.727,343.512,78.435,78.435,78.3904,78.39,75.2489,73.0375,119.662,112.385,67.0075,100.661,317.896,296.178,295.975,317.808,293.681,293.681,336.746,-7.34087,0.670361,83.1034,4
851.079,325.233,78.8154,78.8153,78.8144,78.8144,72.8312,70.5346,119.662,112.776,67.0073,95.1396,315.656,297.595,297.959,315.742,294.649,294.649,329.317,-8.68106,0.850354,92.4678,5
852.076,315.829,78.7388,78.7387,78.7707,78.7707,70.4359,68.9884,119.662,72.336,67.0072,91.9397,314.601,296.854,297.119,314.271,296.568,296.569,317.916,-9.67946,0.994466,98.3042,6
858.103,306.009,78.4837,78.4836,78.5333,78.5334,67.7999,67.9751,118.199,81.0425,67.007,90.9883,314.923,295.768,296.12,313.504,296.225,296.225,303.94,-10.6562,1.10869,102.029,7
854.46,300.488,77.9933,77.9933,78.0485,78.0486,65.4182,67.5263,109.239,0.0,67.0069,87.771,313.488,292.077,293.118,312.906,295.636,295.636,300.353,-11.5029,1.19226,104.376,8
854.007,295.104,77.3765,77.3765,77.4112,77.4113,62.0586,66.4419,119.662,0.0,67.0068,84.4948,311.874,291.953,292.991,311.241,293.85,293.85,297.259,-12.3279,1.26745,106.082,9
858.305,290.251,76.5881,76.5881,76.5784,76.5785,57.8504,62.9437,111.937,0.0,67.0382,81.2243,310.756,289.897,291.055,309.858,292.446,292.444,294.706,-13.7736,1.36411,108.266,10
1092.09,284.073,75.9159,75.9149,75.9516,75.9511,55.5815,59.9209,38.4633,35.2242,67.1156,82.5754,313.121,293.907,294.023,308.994,291.96,291.96,294.911,-15.0631,1.46263,110.385,11
908.918,281.735,75.0559,75.0526,75.092,75.0913,52.6736,58.1784,109.507,0.0,67.1506,78.7565,309.261,290.438,291.97,308.495,291.559,291.558,292.336,-14.3058,1.5132,111.546,12
891.792,278.429,74.1977,74.191,74.1603,74.1584,49.9696,55.6757,119.662,9.87369,67.1681,76.132,308.128,289.781,291.102,306.849,290.231,290.23,289.913,-15.4202,1.56279,112.349,13
1069.5,275.016,73.8047,73.7959,73.5388,73.5375,47.3705,53.1008,76.5169,59.3687,67.1774,76.0198,309.51,289.593,291.658,305.555,289.123,289.122,288.151,-16.9005,1.64139,113.797,14
952.011,272.165,73.1477,73.146,73.1837,73.1815,46.2822,52.6298,47.3843,0.0,67.1844,73.1367,304.192,285.713,286.868,307.011,289.812,289.811,288.119,-16.994,1.69567,114.829,15
1001.46,268.902,72.1386,72.1508,72.7799,72.7746,44.287,51.2489,47.4786,18.4461,67.191,73.6344,305.34,288.125,288.434,305.197,289.049,289.049,287.77,-14.8661,1.72542,115.222,16
1057.22,266.41,70.7741,70.7889,72.1698,72.1572,33.3473,49.2317,83.4968,12.6244,67.1975,68.9432,303.952,283.54,283.969,304.097,287.336,287.336,283.394,-18.0843,1.77136,115.894,17
1082.87,263.25,70.5872,70.5872,71.8479,71.851,37.2591,46.7219,38.4053,56.2193,67.2042,71.917,305.171,289.681,289.818,303.798,288.081,288.082,285.554,-16.2884,1.81857,116.616,18
